translation,reference,source,translation_clean,reference_clean,source_clean
 A steel file stores in a blank outside the restaurante.,A row of tables and a bench outside of the restaurant.,Uma fileira de mesas e um banco fora de um restaurante, a steel file stores in a blank outside the restaurante ,a row of tables and a bench outside of the restaurant ,uma fileira de mesas e um banco fora de um restaurante
 4 kids with school age are playing the game in the gym,Four school-aged children are playing dodgeball at the gymnasium.,Quatro crianças com idade escolar estão jogando queimada no ginásio, 4 kids with school age are playing the game in the gym,four school aged children are playing dodgeball at the gymnasium ,quatro crianças com idade escolar estão jogando queimada no ginásio
 This happened on my head.,It crossed my mind.,Isso passou pela minha cabeça., this happened on my head ,it crossed my mind ,isso passou pela minha cabeça 
 and the timer can bleed,The honor comes with suffering.,Honrar vem com sofrimento., and the timer can bleed,the honor comes with suffering ,honrar vem com sofrimento 
" Welcome, Lord.","Welcome, sir!",Bem vindo senhor!, welcome lord ,welcome sir ,bem vindo senhor 
 And he asked the boy if he was also looking for the Aquemist.,And he asked the boy if he was also in search of the alchemist.,E ele perguntou ao menino se ele também estava em busca do alquimista., and he asked the boy if he was also looking for the aquemist ,and he asked the boy if he was also in search of the alchemist ,e ele perguntou ao menino se ele também estava em busca do alquimista 
" The beautiful man and the wine bar, they will be ready in silver.","A handsome man and a wine bar, they'll be ready soon.","Homem bonito e bar de vinhos, eles estarão prontos em breve.", the beautiful man and the wine bar they will be ready in silver ,a handsome man and a wine bar they ll be ready soon ,homem bonito e bar de vinhos eles estarão prontos em breve 
 cut baking paper and cut the exterior,Cut the gold cloth into thin ribbons.,Cortar o pano de ouro em fitas finas., cut baking paper and cut the exterior,cut the gold cloth into thin ribbons ,cortar o pano de ouro em fitas finas 
 and there it's the counsel,And this is your coat.,E esse é o seu casaco., and there it s the counsel,and this is your coat ,e esse é o seu casaco 
 touch on your head,Touch your hair.,Toque no seu cabelo, touch on your head,touch your hair ,toque no seu cabelo
 My name is Teris Given,"“Is my name Melchizedek?"", said the old man.","""Meu nome é Melchizedek?"", disse o velho.", my name is teris given, is my name melchizedek said the old man , meu nome é melchizedek disse o velho 
 One of the sets being trained for a soldier.,A military dog being trained by a soldier.,Um cão do exército sendo treinado por um soldado., one of the sets being trained for a soldier ,a military dog being trained by a soldier ,um cão do exército sendo treinado por um soldado 
 You're so happy with Jimmy Long.,As happy as the day is long.,Tão feliz quanto o dia é longo, you re so happy with jimmy long ,as happy as the day is long ,tão feliz quanto o dia é longo
 A group of African-American people in school.,A group of African settlers at the school.,Um grupo de aldeões africanos na escola., a group of african american people in school ,a group of african settlers at the school ,um grupo de aldeões africanos na escola 
 These pillars make less well than others.,These pills are more harmful than others.,Essas pílulas fazem menos bem que outras., these pillars make less well than others ,these pills are more harmful than others ,essas pílulas fazem menos bem que outras 
 Why are women like Cóbrino Radada?,Why is the ditch covering the space?,Por que a sarjeta cobre a rodada?, why are women like cóbrino radada ,why is the ditch covering the space ,por que a sarjeta cobre a rodada 
 The human was shot in Cream andbrar it was also shot washpiece.,A person floats in the water near the rocks and the waterfall.,Uma pessoa flutua na água perto de pedras e uma cachoeira., the human was shot in cream andbrar it was also shot washpiece ,a person floats in the water near the rocks and the waterfall ,uma pessoa flutua na água perto de pedras e uma cachoeira 
 My kyth robe lit when we lit up,My dog barks when strangers arrive.,Meu cachorro late quando estranhos chegam., my kyth robe lit when we lit up,my dog barks when strangers arrive ,meu cachorro late quando estranhos chegam 
" Sorry, the time of test inspired.","Sorry, the trial period has expired.","Desculpe, o período de teste expirou.", sorry the time of test inspired ,sorry the trial period has expired ,desculpe o período de teste expirou 
 A wet cloth of food and food.,A woman prepares a bowl of food and eats it.,Uma mulher cava uma tigela de comida e a come., a wet cloth of food and food ,a woman prepares a bowl of food and eats it ,uma mulher cava uma tigela de comida e a come 
 People reporting for the calls from the Lodge on the OLлав circles.,People walking on the sidewalk next to several stores.,Pessoas andando pela calçada ao lado de uma linha de lojas., people reporting for the calls from the lodge on the olлав circles ,people walking on the sidewalk next to several stores ,pessoas andando pela calçada ao lado de uma linha de lojas 
 Dad's pajamas on the podiums?,Is daddy in trouble?,Papai está com problemas?, dad s pajamas on the podiums ,is daddy in trouble ,papai está com problemas 
 A nut like the basketball ball.,A boy with a basketball.,Um garoto com uma bola de basquete., a nut like the basketball ball ,a boy with a basketball ,um garoto com uma bola de basquete 
 I would like to see the collection of a series in my cinema.,I would like to watch The Heart of a Mermaid at the cinema.,Eu gostaria de ver O Coração de uma Sereia no meu cinema, i would like to see the collection of a series in my cinema ,i would like to watch the heart of a mermaid at the cinema ,eu gostaria de ver o coração de uma sereia no meu cinema
" It's very simple, isn't it?","It's quite simple, isn't it?","É bem simples, não é?", it s very simple isn t it ,it s quite simple isn t it ,é bem simples não é 
 It was not at all.,That wasn't all.,Nem isso foi tudo., it was not at all ,that wasn t all ,nem isso foi tudo 
 There are already some brewing notes.,Young girls are dancing.,Jovens garotas estão dançando., there are already some brewing notes ,young girls are dancing ,jovens garotas estão dançando 
" Nicholas Otoi , friends of the newspaper",A man organizes the coffee shop.,Homem coloca ordem na cafeteria., nicholas otoi friends of the newspaper,a man organizes the coffee shop ,homem coloca ordem na cafeteria 
 The despair is something that brings us to the dark night.,Anxiety is something that haunts us at night.,O desespero é algo que nos assombra à noite., the despair is something that brings us to the dark night ,anxiety is something that haunts us at night ,o desespero é algo que nos assombra à noite 
" $20,000 per year.",Twenty thousand dollars a year?,Vinte mil dólares por ano?, 20 000 per year ,twenty thousand dollars a year ,vinte mil dólares por ano 
 I know everything in the country.,I know everything in the country.,Eu sei tudo no país., i know everything in the country ,i know everything in the country ,eu sei tudo no país 
 There is already a proposal and the girl too.,Did the jacket have a purpose? the boy had too.,A jaqueta tinha um propósito? e o menino também., there is already a proposal and the girl too ,did the jacket have a purpose the boy had too ,a jaqueta tinha um propósito e o menino também 
 This is the basic cover.,This covers the basics.,Isso cobre o básico., this is the basic cover ,this covers the basics ,isso cobre o básico 
 We can make this on the third row.,Can we manage to do that on Tuesday?,Podemos planejar fazer isso na terça-feira?, we can make this on the third row ,can we manage to do that on tuesday ,podemos planejar fazer isso na terça feira 
 He did not do that.,He didn't do that.,Ele não fez isso., he did not do that ,he didn t do that ,ele não fez isso 
 veterans lack 4 I won't hesitate. All the correspondence are dismantled vez Will this cause a lot? Only German,Wisdom and intelligence are two different things.,Sabedoria e inteligência são duas coisas muito separadas., veterans lack 4 i won t hesitate all the correspondence are dismantled vez will this cause a lot only german,wisdom and intelligence are two different things ,sabedoria e inteligência são duas coisas muito separadas 
 the place milk the past,Beautiful place at night.,lugar lindo à noite, the place milk the past,beautiful place at night ,lugar lindo à noite
 Just a few meters to the station of the universe.,There is a bus stop a few meters away.,Apenas a poucos metros há uma estação de ônibus., just a few meters to the station of the universe ,there is a bus stop a few meters away ,apenas a poucos metros há uma estação de ônibus 
 A stick that already creases to the front of an antenna.,A couple is kissing at the Bayfront pier.,Um par que beija na frente de um cais dianteiro da baía., a stick that already creases to the front of an antenna ,a couple is kissing at the bayfront pier ,um par que beija na frente de um cais dianteiro da baía 
 The woman is smiling and is using a hair effect.,A woman who is smiling is wearing a unique headdress.,Uma mulher que está sorrindo está usando um enfeite de cabeça único, the woman is smiling and is using a hair effect ,a woman who is smiling is wearing a unique headdress ,uma mulher que está sorrindo está usando um enfeite de cabeça único
 Fire BBQ,It was just right.,Foi apenas certo., fire bbq,it was just right ,foi apenas certo 
 A child is looking at the view of a camera.,A child is looking through the viewfinder of a camera.,Uma criança está olhando pelo visor de uma câmera., a child is looking at the view of a camera ,a child is looking through the viewfinder of a camera ,uma criança está olhando pelo visor de uma câmera 
 A cyclist passes through a field ramp and takes a little of air.,A cyclist rides through a dirt ramp and gets some air.,Um ciclista passa por uma rampa de terra e pega um pouco de ar, a cyclist passes through a field ramp and takes a little of air ,a cyclist rides through a dirt ramp and gets some air ,um ciclista passa por uma rampa de terra e pega um pouco de ar
 I heard that it was too much on the side door.,I have heard in the next door that I won.,Ouvi dizer que ganhei muito na porta ao lado., i heard that it was too much on the side door ,i have heard in the next door that i won ,ouvi dizer que ganhei muito na porta ao lado 
 A great group of people sitting on the white wall.,A large group of people sitting in the white tent.,Grande grupo de pessoas sentadas na tenda branca., a great group of people sitting on the white wall ,a large group of people sitting in the white tent ,grande grupo de pessoas sentadas na tenda branca 
 Universal lowers are built by a church,A blond boy is standing by a fence.,Um menino loiro está de pé por uma cerca., universal lowers are built by a church,a blond boy is standing by a fence ,um menino loiro está de pé por uma cerca 
 A band is present in a pole.,A band performs on stage.,Uma banda se apresenta em um palco., a band is present in a pole ,a band performs on stage ,uma banda se apresenta em um palco 
 Bon Appetit!,The man asked for two ... of coconut water.,O moço pediu duas águas de coco, bon appetit ,the man asked for two of coconut water ,o moço pediu duas águas de coco
 asset,Enable subtitles.,Ativar legendas., asset,enable subtitles ,ativar legendas 
 here hot in the tell,Is it hot in the current location?,Está quente no local atual?, here hot in the tell,is it hot in the current location ,está quente no local atual 
 Mr. Robinson will be back in time.,Mister Robinson will be on time.,Mister Robinson chegará a tempo., mr robinson will be back in time ,mister robinson will be on time ,mister robinson chegará a tempo 
" Reservate, restaurant in Georgia.",Book a restaurant in Georgia.,reservar um restaurante na Geórgia, reservate restaurant in georgia ,book a restaurant in georgia ,reservar um restaurante na geórgia
 A child is enjoying a baby in the supermarket.,A child is enjoying a drink at the supermarket.,Uma criança está desfrutando de uma bebida no supermercado., a child is enjoying a baby in the supermarket ,a child is enjoying a drink at the supermarket ,uma criança está desfrutando de uma bebida no supermercado 
 Recite the horror of the movie.,Recite the movie time.,Recite o horário do filme., recite the horror of the movie ,recite the movie time ,recite o horário do filme 
" Well, it's not a random number.",Forty-two is not a random number.,Quarenta e dois não é um número aleatório., well it s not a random number ,forty two is not a random number ,quarenta e dois não é um número aleatório 
 If you charge bitte then have just one,A dog runs across the grass.,um cachorro corre pela grama., if you charge bitte then have just one,a dog runs across the grass ,um cachorro corre pela grama 
 Aok and Messenger,I burned the omelet.,Eu queimei a omelete., aok and messenger,i burned the omelet ,eu queimei a omelete 
 The box shows card of thumb and ring on left earicking drawing style ...,The brown dog is running towards a blue and yellow tube.,O cachorro marrom está correndo em direção a um tubo azul e amarelo, the box shows card of thumb and ring on left earicking drawing style ,the brown dog is running towards a blue and yellow tube ,o cachorro marrom está correndo em direção a um tubo azul e amarelo
 A woman in one blue shirt and black pants is getting closer to her white shirt.,A woman in a blue shirt and black pants is straightening her white sock.,Uma mulher em uma camisa azul e calça preta está consertando sua meia branca., a woman in one blue shirt and black pants is getting closer to her white shirt ,a woman in a blue shirt and black pants is straightening her white sock ,uma mulher em uma camisa azul e calça preta está consertando sua meia branca 
 Gr曾ness crimping chromosomes and dandy,A child is walking and playing with bubbles.,Uma criança brincando com bolhas e andando., gr曾ness crimping chromosomes and dandy,a child is walking and playing with bubbles ,uma criança brincando com bolhas e andando 
 The people are passing by in a place.,People are strolling in a market.,As pessoas estão passeando em um mercado, the people are passing by in a place ,people are strolling in a market ,as pessoas estão passeando em um mercado
 A more green man in black jacket looking down.,An old man in a black jacket is looking down.,"Um homem mais velho em uma jaqueta preta, olhando para baixo", a more green man in black jacket looking down ,an old man in a black jacket is looking down ,um homem mais velho em uma jaqueta preta olhando para baixo
 D兩個 players of football are playing centimeter-long withbestowing uniforms and seasons alike!,Two young soccer players wearing blue and yellow uniforms fight for the ball.,Dois jogadores de futebol jovens vestindo uniformes azuis e amarelos lutam pela bola., d兩個 players of football are playing centimeter long withbestowing uniforms and seasons alike ,two young soccer players wearing blue and yellow uniforms fight for the ball ,dois jogadores de futebol jovens vestindo uniformes azuis e amarelos lutam pela bola 
 The traffic was huge.,The place was busy.,O tráfego era enorme., the traffic was huge ,the place was busy ,o tráfego era enorme 
 You left out on number 5.,You didn't include the number five.,Você deixou de fora o número cinco., you left out on number 5 ,you didn t include the number five ,você deixou de fora o número cinco 
 The bus was bound as always to the north.,"The compass pointed, as always, to the north.","A bússola apontava, como sempre para o norte", the bus was bound as always to the north ,the compass pointed as always to the north ,a bússola apontava como sempre para o norte
 ついろ行る below the hole,Moved back to the hole.,Recuou para o buraco., ついろ行る below the hole,moved back to the hole ,recuou para o buraco 
 A strong launch can scare your partner.,A strong decision can scare your partner.,Um lance forte pode assustar seu parceiro., a strong launch can scare your partner ,a strong decision can scare your partner ,um lance forte pode assustar seu parceiro 
 I should say no.,I should say no!,Eu deveria dizer não!, i should say no ,i should say no ,eu deveria dizer não 
 You're going to ask me what?,What are you going to ask?,Você vai me perguntar o que?, you re going to ask me what ,what are you going to ask ,você vai me perguntar o que 
" An craftwoman walks along the streets, carrying a sunbatiss.",Is it a woman in dark glasses walking down the street? Carrying a blue bag?,Uma mulher de óculos escuros caminha pela rua? carregando uma bolsa azul., an craftwoman walks along the streets carrying a sunbatiss ,is it a woman in dark glasses walking down the street carrying a blue bag ,uma mulher de óculos escuros caminha pela rua carregando uma bolsa azul 
" The works of ESC position areners, if I am funny.",Office workers having fun.,Trabalhadores de escritório se divertindo., the works of esc position areners if i am funny ,office workers having fun ,trabalhadores de escritório se divertindo 
 How was the food?,How was the food there?,Como foi a comida lá?, how was the food ,how was the food there ,como foi a comida lá 
 Where did you have this card?,Where have you been during this afternoon?,Onde você esteve esta tarde?, where did you have this card ,where have you been during this afternoon ,onde você esteve esta tarde 
 You two sit here.,"You two, sit here.",Vocês dois se sentam aqui., you two sit here ,you two sit here ,vocês dois se sentam aqui 
 and you can not free it,Can't you free him?,E você não pode libertá-lo?, and you can not free it,can t you free him ,e você não pode libertá lo 
 Feveriro did not leave the rope,February takes everything away.,Fevereiro não deixa carneiro ou cordeiro., feveriro did not leave the rope,february takes everything away ,fevereiro não deixa carneiro ou cordeiro 
" But being or being a star, they discovered how to read these illigraphy.","Sooner or later, they will discover how to read these hieroglyphs.","Mais cedo ou mais tarde, eles descobrirão como ler esses hieróglifos.", but being or being a star they discovered how to read these illigraphy ,sooner or later they will discover how to read these hieroglyphs ,mais cedo ou mais tarde eles descobrirão como ler esses hieróglifos 
 You will not be able to choose yourрыtlü,You wouldn't like to kill anyone.,Você não gostaria de matar ninguém., you will not be able to choose yourрыtlü,you wouldn t like to kill anyone ,você não gostaria de matar ninguém 
 data- fandโter has a housing debating compadmening,The family is together at home enjoying each other's company.,Família reunida em uma casa desfrutando de companhia, data fandโter has a housing debating compadmening,the family is together at home enjoying each other s company ,família reunida em uma casa desfrutando de companhia
 people were outside and seeing a truck连出现,People stand outside watching the motorcycles driving down the road.,As pessoas ficam do lado de fora vendo motocicletas dirigir por uma estrada., people were outside and seeing a truck连出现,people stand outside watching the motorcycles driving down the road ,as pessoas ficam do lado de fora vendo motocicletas dirigir por uma estrada 
 A new child who plays with his friends in the toys.,A young child that plays with his toy trains.,Uma criança nova que joga com seus trens do brinquedo., a new child who plays with his friends in the toys ,a young child that plays with his toy trains ,uma criança nova que joga com seus trens do brinquedo 
 My money,A lot of money.,Muito dinheiro., my money,a lot of money ,muito dinheiro 
 I got a number in the place I found.,I took a number and found my place.,Eu peguei um número e encontrei meu lugar., i got a number in the place i found ,i took a number and found my place ,eu peguei um número e encontrei meu lugar 
 Taking,"Horse running, grave headstone.","Correndo cavalo, lápide grave.", taking,horse running grave headstone ,correndo cavalo lápide grave 
 We are here to ask for the tripod.,We are here to ask to borrow it.,Estamos aqui para pedir emprestado, we are here to ask for the tripod ,we are here to ask to borrow it ,estamos aqui para pedir emprestado
 Thank God you are here.,Thank God you're here!,Graças a Deus você está aqui!, thank god you are here ,thank god you re here ,graças a deus você está aqui 
 We need to press.,We have to hurry up.,Precisamos nos apressar., we need to press ,we have to hurry up ,precisamos nos apressar 
 The need to be paid for innovation.,Necessity is innovation's father.,A necessidade é o pai na inovação., the need to be paid for innovation ,necessity is innovation s father ,a necessidade é o pai na inovação 
 it's not screwed today,He couldn't avoid it.,Ele não pôde evitar., it s not screwed today,he couldn t avoid it ,ele não pôde evitar 
 The radiant task of the psicologcing of gods他是 elders,Mountain bike rider jumping over obstacles.,Cavaleiro da bicicleta pulando obstáculos., the radiant task of the psicologcing of gods他是 elders,mountain bike rider jumping over obstacles ,cavaleiro da bicicleta pulando obstáculos 
 A small thin layer of heads down to a sequence of combat balance,A girl hangs upside down on a swing at a park.,Uma menina pendura de cabeça para baixo em um balanço em um parque, a small thin layer of heads down to a sequence of combat balance,a girl hangs upside down on a swing at a park ,uma menina pendura de cabeça para baixo em um balanço em um parque
 I'll send some emails to my family,I will send some emails to my family.,Vou mandar alguns e-mails para minha família., i ll send some emails to my family,i will send some emails to my family ,vou mandar alguns e mails para minha família 
 It is common to use airs to confuse the air-free software with the air-free software.,It's common for users to confuse free software with paid software.,É comum os usuários confundirem software livre com software livre., it is common to use airs to confuse the air free software with the air free software ,it s common for users to confuse free software with paid software ,é comum os usuários confundirem software livre com software livre 
 No indicator of the tester will be concluded.,"At the tester's appointment, the attempt will be completed.","Na indicação do testador, a tentativa será concluída.", no indicator of the tester will be concluded ,at the tester s appointment the attempt will be completed ,na indicação do testador a tentativa será concluída 
 A vibrant �� countless,A vibrant tracker tracks along a scenic trail.,Um rastreador vibrante caminha por uma trilha panorâmica., a vibrant countless,a vibrant tracker tracks along a scenic trail ,um rastreador vibrante caminha por uma trilha panorâmica 
" Three at the bottom, complete dressed.",Are three fully dressed men on the beach?,Três homens estão na praia? totalmente vestidos., three at the bottom complete dressed ,are three fully dressed men on the beach ,três homens estão na praia totalmente vestidos 
 The facial expression of the doctor was starting to swear.,The actor's authentic facial expression was convincing the jury.,A expressão facial autêntica do ator estava convencendo o júri., the facial expression of the doctor was starting to swear ,the actor s authentic facial expression was convincing the jury ,a expressão facial autêntica do ator estava convencendo o júri 
 You know how to do it.,You know where I live.,Você sabe onde eu moro., you know how to do it ,you know where i live ,você sabe onde eu moro 
 Japanese Gundam ain't misplaced and it's only difficult to use,Some Japanese people enjoy fireworks shows on a local street.,Alguns japoneses desfrutam de shows de fogos de artifício em uma rua local, japanese gundam ain t misplaced and it s only difficult to use,some japanese people enjoy fireworks shows on a local street ,alguns japoneses desfrutam de shows de fogos de artifício em uma rua local
 Some people are examined in a month.,Some people are tasting wines at the table.,Algumas pessoas estão examinando vinhos em uma mesa., some people are examined in a month ,some people are tasting wines at the table ,algumas pessoas estão examinando vinhos em uma mesa 
" so it's browning, looked much green in water",A very wet brown dog is coming out of the water.,Um cão marrom muito molhado está emergindo da água., so it s browning looked much green in water,a very wet brown dog is coming out of the water ,um cão marrom muito molhado está emergindo da água 
 Everybody shout,Everyone laughed.,Todos riram, everybody shout,everyone laughed ,todos riram
 The employer works in putting a screw in the place while other workers put screws.,A mason works to construct a beam while the other workers place the beams.,Um portador trabalha em empunhar uma viga no lugar enquanto outros trabalhadores colocam vigas., the employer works in putting a screw in the place while other workers put screws ,a mason works to construct a beam while the other workers place the beams ,um portador trabalha em empunhar uma viga no lugar enquanto outros trabalhadores colocam vigas 
 No interruption until today.,No interruption to date.,Nenhuma interrupção até hoje, no interruption until today ,no interruption to date ,nenhuma interrupção até hoje
 Let's see if it's easy.,"""Shall we stop this one?"", another commander said.","""Vamos parar este?"", disse outro comandante.", let s see if it s easy , shall we stop this one another commander said , vamos parar este disse outro comandante 
 342 people finished working,Three hundred and forty-two people were invited.,Trezentos e quarenta e duas pessoas foram convidadas., 342 people finished working,three hundred and forty two people were invited ,trezentos e quarenta e duas pessoas foram convidadas 
 Come and see what 🎵,Come early than the agreed time.,Venha antes do tempo acordado, come and see what ,come early than the agreed time ,venha antes do tempo acordado
" The people are on the outside of an empty building, close to a street.",People are outside a building next to the street.,As pessoas estão do lado de fora de um edifício perto de uma rua., the people are on the outside of an empty building close to a street ,people are outside a building next to the street ,as pessoas estão do lado de fora de um edifício perto de uma rua 
" No study came true, that tree tells you everything is correct",No thinker dares to say they are right.,Nenhum estudioso se atreve a dizer que está certo., no study came true that tree tells you everything is correct,no thinker dares to say they are right ,nenhum estudioso se atreve a dizer que está certo 
 I keep touching it wide,I kick more like that.,Eu fico mais chutando dessa maneira., i keep touching it wide,i kick more like that ,eu fico mais chutando dessa maneira 
 the name of white,A man in a white shirt smokes while giving instructions.,Um homem de camisa branca fuma enquanto dá instruções., the name of white,a man in a white shirt smokes while giving instructions ,um homem de camisa branca fuma enquanto dá instruções 
 This size is ready.,This woman is beautiful.,Essa mulher é bonita., this size is ready ,this woman is beautiful ,essa mulher é bonita 
 I'm going to talk to you today at night,I will talk with you tonight.,Eu vou falar com você hoje a noite., i m going to talk to you today at night,i will talk with you tonight ,eu vou falar com você hoje a noite 
 Notarization,Notarization.,Notarização, notarization,notarization ,notarização
 keeping a lot of wrong things,A lot of things are getting wrong.,Ficando um monte de coisas erradas, keeping a lot of wrong things,a lot of things are getting wrong ,ficando um monte de coisas erradas
 Many people are looking at cultures in a market for money.,Several people are harvesting in an urban market.,Várias pessoas estão colhendo culturas em um mercado urbano., many people are looking at cultures in a market for money ,several people are harvesting in an urban market ,várias pessoas estão colhendo culturas em um mercado urbano 
 Donald Trump and Barack Obama are not good friends.,Donald Trump and Barack Obama are not good friends.,Donald Trump e Barack Obama não são bons amigos., donald trump and barack obama are not good friends ,donald trump and barack obama are not good friends ,donald trump e barack obama não são bons amigos 
 The same book that taught me about Olin and Tumin.,The same book that taught me about Urim and Tumim.,O mesmo livro que me ensinou sobre Urim e Tumim., the same book that taught me about olin and tumin ,the same book that taught me about urim and tumim ,o mesmo livro que me ensinou sobre urim e tumim 
 going up to see the ear.,Going up to see Erin.,Subindo para ver Erin., going up to see the ear ,going up to see erin ,subindo para ver erin 
 spin with forward,The giraffe was afraid.,A girafa ficou com medo., spin with forward,the giraffe was afraid ,a girafa ficou com medo 
 it attracts you to decline,She retracted her statement.,Ela retraiu sua declaração., it attracts you to decline,she retracted her statement ,ela retraiu sua declaração 
" It was, however, even though it was so hot, it was very cold.",Was it? So what? it’s still far away by his air flight.,"Era?, no entanto? ainda estava tão quente de seu voo pelo ar.", it was however even though it was so hot it was very cold ,was it so what it s still far away by his air flight ,era no entanto ainda estava tão quente de seu voo pelo ar 
 A group of young men singing together.,A group of women singing together.,Um grupo de mulheres cantando juntas., a group of young men singing together ,a group of women singing together ,um grupo de mulheres cantando juntas 
" A young boy who is cunning, always puts up the myth. Top in the face.",A young man is carrying something in a large black plastic trash bag.,Um jovem está carregando algo em um grande saco de lixo de plástico preto., a young boy who is cunning always puts up the myth top in the face ,a young man is carrying something in a large black plastic trash bag ,um jovem está carregando algo em um grande saco de lixo de plástico preto 
 and if I tell you all he does is not you know it right.,To invade the Legislative Yuan.,Invadir o Yuan Legislativo, and if i tell you all he does is not you know it right ,to invade the legislative yuan ,invadir o yuan legislativo
