translation,reference,source,translation_clean,reference_clean,source_clean
 The taxis keep the strike indefinitely.,The taxi drivers remain on strike indefinitely.,Os taxistas mantêm a greve indefinidamente., the taxis keep the strike indefinitely ,the taxi drivers remain on strike indefinitely ,os taxistas mantêm a greve indefinidamente 
 The black dog takes a toy from the mouth while running in the field.,The black dog catches a toy in its mouth while it runs in the field.,O cão preto pega um brinquedo na boca enquanto corre no campo., the black dog takes a toy from the mouth while running in the field ,the black dog catches a toy in its mouth while it runs in the field ,o cão preto pega um brinquedo na boca enquanto corre no campo 
 The mirror has a metal part.,The mirror had a part made of metal,O espelho tinha uma parte de metal, the mirror has a metal part ,the mirror had a part made of metal,o espelho tinha uma parte de metal
 The world of peace is uncertain.,The path the country is taking is uncertain.,O rumo do páis é incerto., the world of peace is uncertain ,the path the country is taking is uncertain ,o rumo do páis é incerto 
 The objective of this conversation is...,The purpose of the conversation is,O objetivo da conversa é, the objective of this conversation is ,the purpose of the conversation is,o objetivo da conversa é
 I'm only interested in the present.,I'm only interested in the present.,Estou interessado apenas no presente., i m only interested in the present ,i m only interested in the present ,estou interessado apenas no presente 
 Are you going to let her out?,Are you going to let her go out?,Você vai deixá-la sair?, are you going to let her out ,are you going to let her go out ,você vai deixá la sair 
" A baby crying while surrounded by green, yellow and orange toys.",A baby crying surrounded by green? Yellow? And orange toys.,Um bebê chora enquanto cercado por verde? amarelo? e brinquedos laranja., a baby crying while surrounded by green yellow and orange toys ,a baby crying surrounded by green yellow and orange toys ,um bebê chora enquanto cercado por verde amarelo e brinquedos laranja 
 I really don't know what to do.,I really don't know what to do.,Eu realmente não sei o que fazer., i really don t know what to do ,i really don t know what to do ,eu realmente não sei o que fazer 
 But they really don't know what they are saying.,But they really don't know what they are saying.,Mas eles realmente não sabem o que estão dizendo., but they really don t know what they are saying ,but they really don t know what they are saying ,mas eles realmente não sabem o que estão dizendo 
 A small dog plays with a colored ball in the sand.,A small dog plays with a colorful ball in the sand.,Um cão pequeno joga com uma bola colorida na areia., a small dog plays with a colored ball in the sand ,a small dog plays with a colorful ball in the sand ,um cão pequeno joga com uma bola colorida na areia 
 A guy taking money from an electronic box,A guy withdrawing money from an ATM.,Um cara tirando dinheiro de um caixa eletrônico., a guy taking money from an electronic box,a guy withdrawing money from an atm ,um cara tirando dinheiro de um caixa eletrônico 
 How does this affect you?,How does this affect you?,Como isso afeta você?, how does this affect you ,how does this affect you ,como isso afeta você 
 Nothing is as elastic as the silk of a spider.,Nothing is as stretchy as a spider's silk.,Nada é tão elástico quanto a seda de uma aranha., nothing is as elastic as the silk of a spider ,nothing is as stretchy as a spider s silk ,nada é tão elástico quanto a seda de uma aranha 
 The alternator pressed the valve with leak.,The plumber tightened the leaking valve.,O encanador apertou a válvula com vazamento., the alternator pressed the valve with leak ,the plumber tightened the leaking valve ,o encanador apertou a válvula com vazamento 
 Two men on the balcony look up and point at something.,Two men on the balcony look up and point at something.,Dois homens na varanda olham para cima e apontam para alguma coisa., two men on the balcony look up and point at something ,two men on the balcony look up and point at something ,dois homens na varanda olham para cima e apontam para alguma coisa 
 Infinity War Avengers,Avengers: Infinity War.,Vingadores Guerra Infinita., infinity war avengers,avengers infinity war ,vingadores guerra infinita 
 A row of tables on a bench outside a restaurant,A row of tables and a bench outside of the restaurant.,Uma fileira de mesas e um banco fora de um restaurante, a row of tables on a bench outside a restaurant,a row of tables and a bench outside of the restaurant ,uma fileira de mesas e um banco fora de um restaurante
 Four children with school age are playing fire in the gym.,Four school-aged children are playing dodgeball at the gymnasium.,Quatro crianças com idade escolar estão jogando queimada no ginásio, four children with school age are playing fire in the gym ,four school aged children are playing dodgeball at the gymnasium ,quatro crianças com idade escolar estão jogando queimada no ginásio
 This passed through my head.,It crossed my mind.,Isso passou pela minha cabeça., this passed through my head ,it crossed my mind ,isso passou pela minha cabeça 
 Honor comes with suffering.,The honor comes with suffering.,Honrar vem com sofrimento., honor comes with suffering ,the honor comes with suffering ,honrar vem com sofrimento 
" Welcome, sir.","Welcome, sir!",Bem vindo senhor!, welcome sir ,welcome sir ,bem vindo senhor 
 And he asked the boy if he was also looking for the alchemist.,And he asked the boy if he was also in search of the alchemist.,E ele perguntou ao menino se ele também estava em busca do alquimista., and he asked the boy if he was also looking for the alchemist ,and he asked the boy if he was also in search of the alchemist ,e ele perguntou ao menino se ele também estava em busca do alquimista 
" Beautiful man and wine bar, they will be ready soon.","A handsome man and a wine bar, they'll be ready soon.","Homem bonito e bar de vinhos, eles estarão prontos em breve.", beautiful man and wine bar they will be ready soon ,a handsome man and a wine bar they ll be ready soon ,homem bonito e bar de vinhos eles estarão prontos em breve 
 Cut the gold cloth in thin strips.,Cut the gold cloth into thin ribbons.,Cortar o pano de ouro em fitas finas., cut the gold cloth in thin strips ,cut the gold cloth into thin ribbons ,cortar o pano de ouro em fitas finas 
 And this is your horse.,And this is your coat.,E esse é o seu casaco., and this is your horse ,and this is your coat ,e esse é o seu casaco 
 Touch your hair.,Touch your hair.,Toque no seu cabelo, touch your hair ,touch your hair ,toque no seu cabelo
" My name is Melchinsen Dek, said the old man.","“Is my name Melchizedek?"", said the old man.","""Meu nome é Melchizedek?"", disse o velho.", my name is melchinsen dek said the old man , is my name melchizedek said the old man , meu nome é melchizedek disse o velho 
 An army dog being trained by a soldier,A military dog being trained by a soldier.,Um cão do exército sendo treinado por um soldado., an army dog being trained by a soldier,a military dog being trained by a soldier ,um cão do exército sendo treinado por um soldado 
 As happy as the day is long.,As happy as the day is long.,Tão feliz quanto o dia é longo, as happy as the day is long ,as happy as the day is long ,tão feliz quanto o dia é longo
 A group of African aldeans at school,A group of African settlers at the school.,Um grupo de aldeões africanos na escola., a group of african aldeans at school,a group of african settlers at the school ,um grupo de aldeões africanos na escola 
 These pills do less good than others.,These pills are more harmful than others.,Essas pílulas fazem menos bem que outras., these pills do less good than others ,these pills are more harmful than others ,essas pílulas fazem menos bem que outras 
 Why the subject covers the round?,Why is the ditch covering the space?,Por que a sarjeta cobre a rodada?, why the subject covers the round ,why is the ditch covering the space ,por que a sarjeta cobre a rodada 
 A person flows in the water near the rocks of a waterfall.,A person floats in the water near the rocks and the waterfall.,Uma pessoa flutua na água perto de pedras e uma cachoeira., a person flows in the water near the rocks of a waterfall ,a person floats in the water near the rocks and the waterfall ,uma pessoa flutua na água perto de pedras e uma cachoeira 
 My dog barks when strangers arrive.,My dog barks when strangers arrive.,Meu cachorro late quando estranhos chegam., my dog barks when strangers arrive ,my dog barks when strangers arrive ,meu cachorro late quando estranhos chegam 
" Sorry, the test period has expired.","Sorry, the trial period has expired.","Desculpe, o período de teste expirou.", sorry the test period has expired ,sorry the trial period has expired ,desculpe o período de teste expirou 
 A woman digs a bowl of food and eats it.,A woman prepares a bowl of food and eats it.,Uma mulher cava uma tigela de comida e a come., a woman digs a bowl of food and eats it ,a woman prepares a bowl of food and eats it ,uma mulher cava uma tigela de comida e a come 
 People walking on the sidewalk next to a store line,People walking on the sidewalk next to several stores.,Pessoas andando pela calçada ao lado de uma linha de lojas., people walking on the sidewalk next to a store line,people walking on the sidewalk next to several stores ,pessoas andando pela calçada ao lado de uma linha de lojas 
 Is dad in trouble?,Is daddy in trouble?,Papai está com problemas?, is dad in trouble ,is daddy in trouble ,papai está com problemas 
 A boy with a basketball.,A boy with a basketball.,Um garoto com uma bola de basquete., a boy with a basketball ,a boy with a basketball ,um garoto com uma bola de basquete 
 I would like to see the heart of a mermaid in my cinema.,I would like to watch The Heart of a Mermaid at the cinema.,Eu gostaria de ver O Coração de uma Sereia no meu cinema, i would like to see the heart of a mermaid in my cinema ,i would like to watch the heart of a mermaid at the cinema ,eu gostaria de ver o coração de uma sereia no meu cinema
" It's very simple, isn't it?","It's quite simple, isn't it?","É bem simples, não é?", it s very simple isn t it ,it s quite simple isn t it ,é bem simples não é 
 Not even that was all.,That wasn't all.,Nem isso foi tudo., not even that was all ,that wasn t all ,nem isso foi tudo 
 Young girls are dancing.,Young girls are dancing.,Jovens garotas estão dançando., young girls are dancing ,young girls are dancing ,jovens garotas estão dançando 
 Let's order in the cafeteria.,A man organizes the coffee shop.,Homem coloca ordem na cafeteria., let s order in the cafeteria ,a man organizes the coffee shop ,homem coloca ordem na cafeteria 
 Desperation is something that haunts us at night.,Anxiety is something that haunts us at night.,O desespero é algo que nos assombra à noite., desperation is something that haunts us at night ,anxiety is something that haunts us at night ,o desespero é algo que nos assombra à noite 
" $20,000 per year?",Twenty thousand dollars a year?,Vinte mil dólares por ano?, 20 000 per year ,twenty thousand dollars a year ,vinte mil dólares por ano 
 I know everything in the country.,I know everything in the country.,Eu sei tudo no país., i know everything in the country ,i know everything in the country ,eu sei tudo no país 
 The jacket had a purpose and so did the boy.,Did the jacket have a purpose? the boy had too.,A jaqueta tinha um propósito? e o menino também., the jacket had a purpose and so did the boy ,did the jacket have a purpose the boy had too ,a jaqueta tinha um propósito e o menino também 
 This covers the basics.,This covers the basics.,Isso cobre o básico., this covers the basics ,this covers the basics ,isso cobre o básico 
 Can we plan to do this on Tuesday?,Can we manage to do that on Tuesday?,Podemos planejar fazer isso na terça-feira?, can we plan to do this on tuesday ,can we manage to do that on tuesday ,podemos planejar fazer isso na terça feira 
 He didn't do that.,He didn't do that.,Ele não fez isso., he didn t do that ,he didn t do that ,ele não fez isso 
 Wisdom and intelligence are two very separate things.,Wisdom and intelligence are two different things.,Sabedoria e inteligência são duas coisas muito separadas., wisdom and intelligence are two very separate things ,wisdom and intelligence are two different things ,sabedoria e inteligência são duas coisas muito separadas 
 Beautiful place at night,Beautiful place at night.,lugar lindo à noite, beautiful place at night,beautiful place at night ,lugar lindo à noite
 Just a few meters away there is a bus station.,There is a bus stop a few meters away.,Apenas a poucos metros há uma estação de ônibus., just a few meters away there is a bus station ,there is a bus stop a few meters away ,apenas a poucos metros há uma estação de ônibus 
 A couple kisses in front of a front-facing car from Bahia.,A couple is kissing at the Bayfront pier.,Um par que beija na frente de um cais dianteiro da baía., a couple kisses in front of a front facing car from bahia ,a couple is kissing at the bayfront pier ,um par que beija na frente de um cais dianteiro da baía 
 A woman smiling is wearing a unique headdress.,A woman who is smiling is wearing a unique headdress.,Uma mulher que está sorrindo está usando um enfeite de cabeça único, a woman smiling is wearing a unique headdress ,a woman who is smiling is wearing a unique headdress ,uma mulher que está sorrindo está usando um enfeite de cabeça único
 It was just right!,It was just right.,Foi apenas certo., it was just right ,it was just right ,foi apenas certo 
 A child is looking through the camera's viewfinder.,A child is looking through the viewfinder of a camera.,Uma criança está olhando pelo visor de uma câmera., a child is looking through the camera s viewfinder ,a child is looking through the viewfinder of a camera ,uma criança está olhando pelo visor de uma câmera 
 A cyclist passes through a dirt slope and catches some air.,A cyclist rides through a dirt ramp and gets some air.,Um ciclista passa por uma rampa de terra e pega um pouco de ar, a cyclist passes through a dirt slope and catches some air ,a cyclist rides through a dirt ramp and gets some air ,um ciclista passa por uma rampa de terra e pega um pouco de ar
 I heard that I earned a lot at the door next door.,I have heard in the next door that I won.,Ouvi dizer que ganhei muito na porta ao lado., i heard that i earned a lot at the door next door ,i have heard in the next door that i won ,ouvi dizer que ganhei muito na porta ao lado 
 A large group of people sitting on the white tent.,A large group of people sitting in the white tent.,Grande grupo de pessoas sentadas na tenda branca., a large group of people sitting on the white tent ,a large group of people sitting in the white tent ,grande grupo de pessoas sentadas na tenda branca 
 A blond boy is standing on a fence.,A blond boy is standing by a fence.,Um menino loiro está de pé por uma cerca., a blond boy is standing on a fence ,a blond boy is standing by a fence ,um menino loiro está de pé por uma cerca 
 A band presents itself on stage.,A band performs on stage.,Uma banda se apresenta em um palco., a band presents itself on stage ,a band performs on stage ,uma banda se apresenta em um palco 
 The boy asked for two coconut waters.,The man asked for two ... of coconut water.,O moço pediu duas águas de coco, the boy asked for two coconut waters ,the man asked for two of coconut water ,o moço pediu duas águas de coco
 Activate subtitles,Enable subtitles.,Ativar legendas., activate subtitles,enable subtitles ,ativar legendas 
 Is it hot in the current location?,Is it hot in the current location?,Está quente no local atual?, is it hot in the current location ,is it hot in the current location ,está quente no local atual 
 Mr. Robinson will arrive on time.,Mister Robinson will be on time.,Mister Robinson chegará a tempo., mr robinson will arrive on time ,mister robinson will be on time ,mister robinson chegará a tempo 
 book a restaurant in Georgia,Book a restaurant in Georgia.,reservar um restaurante na Geórgia, book a restaurant in georgia,book a restaurant in georgia ,reservar um restaurante na geórgia
 A child is enjoying a drink in the supermarket.,A child is enjoying a drink at the supermarket.,Uma criança está desfrutando de uma bebida no supermercado., a child is enjoying a drink in the supermarket ,a child is enjoying a drink at the supermarket ,uma criança está desfrutando de uma bebida no supermercado 
 Recite the movie schedule.,Recite the movie time.,Recite o horário do filme., recite the movie schedule ,recite the movie time ,recite o horário do filme 
 42 is not an random number,Forty-two is not a random number.,Quarenta e dois não é um número aleatório., 42 is not an random number,forty two is not a random number ,quarenta e dois não é um número aleatório 
 A dog runs on the grass,A dog runs across the grass.,um cachorro corre pela grama., a dog runs on the grass,a dog runs across the grass ,um cachorro corre pela grama 
 I burned the omelet.,I burned the omelet.,Eu queimei a omelete., i burned the omelet ,i burned the omelet ,eu queimei a omelete 
 The brown dog is running towards a blue and yellow tube.,The brown dog is running towards a blue and yellow tube.,O cachorro marrom está correndo em direção a um tubo azul e amarelo, the brown dog is running towards a blue and yellow tube ,the brown dog is running towards a blue and yellow tube ,o cachorro marrom está correndo em direção a um tubo azul e amarelo
 A woman in a blue shirt and black pants is fixing her white shirt.,A woman in a blue shirt and black pants is straightening her white sock.,Uma mulher em uma camisa azul e calça preta está consertando sua meia branca., a woman in a blue shirt and black pants is fixing her white shirt ,a woman in a blue shirt and black pants is straightening her white sock ,uma mulher em uma camisa azul e calça preta está consertando sua meia branca 
 A child playing with bubbles and walking,A child is walking and playing with bubbles.,Uma criança brincando com bolhas e andando., a child playing with bubbles and walking,a child is walking and playing with bubbles ,uma criança brincando com bolhas e andando 
 People are walking in a market.,People are strolling in a market.,As pessoas estão passeando em um mercado, people are walking in a market ,people are strolling in a market ,as pessoas estão passeando em um mercado
 An older man in a black jacket looking down.,An old man in a black jacket is looking down.,"Um homem mais velho em uma jaqueta preta, olhando para baixo", an older man in a black jacket looking down ,an old man in a black jacket is looking down ,um homem mais velho em uma jaqueta preta olhando para baixo
" Two young football players, wearing blue and yellow uniforms, fight for the ball.",Two young soccer players wearing blue and yellow uniforms fight for the ball.,Dois jogadores de futebol jovens vestindo uniformes azuis e amarelos lutam pela bola., two young football players wearing blue and yellow uniforms fight for the ball ,two young soccer players wearing blue and yellow uniforms fight for the ball ,dois jogadores de futebol jovens vestindo uniformes azuis e amarelos lutam pela bola 
 The traffic was huge.,The place was busy.,O tráfego era enorme., the traffic was huge ,the place was busy ,o tráfego era enorme 
 You left out the number 5,You didn't include the number five.,Você deixou de fora o número cinco., you left out the number 5,you didn t include the number five ,você deixou de fora o número cinco 
" The compass pointed, as always, to the north.","The compass pointed, as always, to the north.","A bússola apontava, como sempre para o norte", the compass pointed as always to the north ,the compass pointed as always to the north ,a bússola apontava como sempre para o norte
 He retreated to the hole.,Moved back to the hole.,Recuou para o buraco., he retreated to the hole ,moved back to the hole ,recuou para o buraco 
 A strong throw can scare your partner.,A strong decision can scare your partner.,Um lance forte pode assustar seu parceiro., a strong throw can scare your partner ,a strong decision can scare your partner ,um lance forte pode assustar seu parceiro 
 I should say no.,I should say no!,Eu deveria dizer não!, i should say no ,i should say no ,eu deveria dizer não 
 What are you going to ask me?,What are you going to ask?,Você vai me perguntar o que?, what are you going to ask me ,what are you going to ask ,você vai me perguntar o que 
 A woman in dark glasses walks down the street carrying a blue bag.,Is it a woman in dark glasses walking down the street? Carrying a blue bag?,Uma mulher de óculos escuros caminha pela rua? carregando uma bolsa azul., a woman in dark glasses walks down the street carrying a blue bag ,is it a woman in dark glasses walking down the street carrying a blue bag ,uma mulher de óculos escuros caminha pela rua carregando uma bolsa azul 
 The writer is working and having fun.,Office workers having fun.,Trabalhadores de escritório se divertindo., the writer is working and having fun ,office workers having fun ,trabalhadores de escritório se divertindo 
 How was the food there?,How was the food there?,Como foi a comida lá?, how was the food there ,how was the food there ,como foi a comida lá 
 Where were you this afternoon?,Where have you been during this afternoon?,Onde você esteve esta tarde?, where were you this afternoon ,where have you been during this afternoon ,onde você esteve esta tarde 
 You two sit here.,"You two, sit here.",Vocês dois se sentam aqui., you two sit here ,you two sit here ,vocês dois se sentam aqui 
 And you can't free him?,Can't you free him?,E você não pode libertá-lo?, and you can t free him ,can t you free him ,e você não pode libertá lo 
 February does not leave the lamb or lamb,February takes everything away.,Fevereiro não deixa carneiro ou cordeiro., february does not leave the lamb or lamb,february takes everything away ,fevereiro não deixa carneiro ou cordeiro 
" Earlier or later, they discovered how to read these hyaluronic acids.","Sooner or later, they will discover how to read these hieroglyphs.","Mais cedo ou mais tarde, eles descobrirão como ler esses hieróglifos.", earlier or later they discovered how to read these hyaluronic acids ,sooner or later they will discover how to read these hieroglyphs ,mais cedo ou mais tarde eles descobrirão como ler esses hieróglifos 
 You wouldn't like to kill anyone.,You wouldn't like to kill anyone.,Você não gostaria de matar ninguém., you wouldn t like to kill anyone ,you wouldn t like to kill anyone ,você não gostaria de matar ninguém 
 Family gathered in a house enjoying company,The family is together at home enjoying each other's company.,Família reunida em uma casa desfrutando de companhia, family gathered in a house enjoying company,the family is together at home enjoying each other s company ,família reunida em uma casa desfrutando de companhia
" People are outside, watching motorcycles driven by a road.",People stand outside watching the motorcycles driving down the road.,As pessoas ficam do lado de fora vendo motocicletas dirigir por uma estrada., people are outside watching motorcycles driven by a road ,people stand outside watching the motorcycles driving down the road ,as pessoas ficam do lado de fora vendo motocicletas dirigir por uma estrada 
 A new child who plays with his toys trains,A young child that plays with his toy trains.,Uma criança nova que joga com seus trens do brinquedo., a new child who plays with his toys trains,a young child that plays with his toy trains ,uma criança nova que joga com seus trens do brinquedo 
 A lot of money,A lot of money.,Muito dinheiro., a lot of money,a lot of money ,muito dinheiro 
 I took a number and found my place.,I took a number and found my place.,Eu peguei um número e encontrei meu lugar., i took a number and found my place ,i took a number and found my place ,eu peguei um número e encontrei meu lugar 
 OMORI cavalim Goal of Camаюсь The event was held in the Iatrio Parfait where sang a 21 year old horse named Roberto Novelli,"Horse running, grave headstone.","Correndo cavalo, lápide grave.", omori cavalim goal of camаюсь the event was held in the iatrio parfait where sang a 21 year old horse named roberto novelli,horse running grave headstone ,correndo cavalo lápide grave 
 We are here to ask for loan.,We are here to ask to borrow it.,Estamos aqui para pedir emprestado, we are here to ask for loan ,we are here to ask to borrow it ,estamos aqui para pedir emprestado
 Thank God you are here.,Thank God you're here!,Graças a Deus você está aqui!, thank god you are here ,thank god you re here ,graças a deus você está aqui 
 We need to hurry.,We have to hurry up.,Precisamos nos apressar., we need to hurry ,we have to hurry up ,precisamos nos apressar 
 Necessity is the father of innovation.,Necessity is innovation's father.,A necessidade é o pai na inovação., necessity is the father of innovation ,necessity is innovation s father ,a necessidade é o pai na inovação 
 She couldn't avoid it.,He couldn't avoid it.,Ele não pôde evitar., she couldn t avoid it ,he couldn t avoid it ,ele não pôde evitar 
 Bicycle rider jumping obstacles,Mountain bike rider jumping over obstacles.,Cavaleiro da bicicleta pulando obstáculos., bicycle rider jumping obstacles,mountain bike rider jumping over obstacles ,cavaleiro da bicicleta pulando obstáculos 
 A girl hangs her head down in a swing in a park.,A girl hangs upside down on a swing at a park.,Uma menina pendura de cabeça para baixo em um balanço em um parque, a girl hangs her head down in a swing in a park ,a girl hangs upside down on a swing at a park ,uma menina pendura de cabeça para baixo em um balanço em um parque
 I will send some emails to my family,I will send some emails to my family.,Vou mandar alguns e-mails para minha família., i will send some emails to my family,i will send some emails to my family ,vou mandar alguns e mails para minha família 
 It is common for users to confuse free software with free software.,It's common for users to confuse free software with paid software.,É comum os usuários confundirem software livre com software livre., it is common for users to confuse free software with free software ,it s common for users to confuse free software with paid software ,é comum os usuários confundirem software livre com software livre 
" On the tester's indication, the attempt will be completed.","At the tester's appointment, the attempt will be completed.","Na indicação do testador, a tentativa será concluída.", on the tester s indication the attempt will be completed ,at the tester s appointment the attempt will be completed ,na indicação do testador a tentativa será concluída 
 A vibrant tracker walks through a panoramic trail.,A vibrant tracker tracks along a scenic trail.,Um rastreador vibrante caminha por uma trilha panorâmica., a vibrant tracker walks through a panoramic trail ,a vibrant tracker tracks along a scenic trail ,um rastreador vibrante caminha por uma trilha panorâmica 
" Three men are on the beach, totally dressed.",Are three fully dressed men on the beach?,Três homens estão na praia? totalmente vestidos., three men are on the beach totally dressed ,are three fully dressed men on the beach ,três homens estão na praia totalmente vestidos 
 The author's real facial expression was convincing the jury.,The actor's authentic facial expression was convincing the jury.,A expressão facial autêntica do ator estava convencendo o júri., the author s real facial expression was convincing the jury ,the actor s authentic facial expression was convincing the jury ,a expressão facial autêntica do ator estava convencendo o júri 
 You know where I live,You know where I live.,Você sabe onde eu moro., you know where i live,you know where i live ,você sabe onde eu moro 
 Some Japanese enjoy fireworks shows on a local street.,Some Japanese people enjoy fireworks shows on a local street.,Alguns japoneses desfrutam de shows de fogos de artifício em uma rua local, some japanese enjoy fireworks shows on a local street ,some japanese people enjoy fireworks shows on a local street ,alguns japoneses desfrutam de shows de fogos de artifício em uma rua local
 Some people are examining the wines on a table.,Some people are tasting wines at the table.,Algumas pessoas estão examinando vinhos em uma mesa., some people are examining the wines on a table ,some people are tasting wines at the table ,algumas pessoas estão examinando vinhos em uma mesa 
 A very wet brown dog is emerging from the water,A very wet brown dog is coming out of the water.,Um cão marrom muito molhado está emergindo da água., a very wet brown dog is emerging from the water,a very wet brown dog is coming out of the water ,um cão marrom muito molhado está emergindo da água 
 Everyone laughed.,Everyone laughed.,Todos riram, everyone laughed ,everyone laughed ,todos riram
 A carrier works by putting a beam in place while other workers put beams.,A mason works to construct a beam while the other workers place the beams.,Um portador trabalha em empunhar uma viga no lugar enquanto outros trabalhadores colocam vigas., a carrier works by putting a beam in place while other workers put beams ,a mason works to construct a beam while the other workers place the beams ,um portador trabalha em empunhar uma viga no lugar enquanto outros trabalhadores colocam vigas 
 No interruption until today.,No interruption to date.,Nenhuma interrupção até hoje, no interruption until today ,no interruption to date ,nenhuma interrupção até hoje
" Let's go to this one, said the commander.","""Shall we stop this one?"", another commander said.","""Vamos parar este?"", disse outro comandante.", let s go to this one said the commander , shall we stop this one another commander said , vamos parar este disse outro comandante 
 342 people were invited,Three hundred and forty-two people were invited.,Trezentos e quarenta e duas pessoas foram convidadas., 342 people were invited,three hundred and forty two people were invited ,trezentos e quarenta e duas pessoas foram convidadas 
 Come before the time is up.,Come early than the agreed time.,Venha antes do tempo acordado, come before the time is up ,come early than the agreed time ,venha antes do tempo acordado
 People are outside a building near a street.,People are outside a building next to the street.,As pessoas estão do lado de fora de um edifício perto de uma rua., people are outside a building near a street ,people are outside a building next to the street ,as pessoas estão do lado de fora de um edifício perto de uma rua 
 No scholar dares to say that it is right.,No thinker dares to say they are right.,Nenhum estudioso se atreve a dizer que está certo., no scholar dares to say that it is right ,no thinker dares to say they are right ,nenhum estudioso se atreve a dizer que está certo 
 I keep kicking more like this,I kick more like that.,Eu fico mais chutando dessa maneira., i keep kicking more like this,i kick more like that ,eu fico mais chutando dessa maneira 
 A man in a white shirt smokes while giving instructions,A man in a white shirt smokes while giving instructions.,Um homem de camisa branca fuma enquanto dá instruções., a man in a white shirt smokes while giving instructions,a man in a white shirt smokes while giving instructions ,um homem de camisa branca fuma enquanto dá instruções 
 This woman is beautiful.,This woman is beautiful.,Essa mulher é bonita., this woman is beautiful ,this woman is beautiful ,essa mulher é bonita 
 I will talk to you tonight,I will talk with you tonight.,Eu vou falar com você hoje a noite., i will talk to you tonight,i will talk with you tonight ,eu vou falar com você hoje a noite 
 Notary,Notarization.,Notarização, notary,notarization ,notarização
 Getting a lot of wrong things,A lot of things are getting wrong.,Ficando um monte de coisas erradas, getting a lot of wrong things,a lot of things are getting wrong ,ficando um monte de coisas erradas
 Several people are harvesting cultures in an urban market.,Several people are harvesting in an urban market.,Várias pessoas estão colhendo culturas em um mercado urbano., several people are harvesting cultures in an urban market ,several people are harvesting in an urban market ,várias pessoas estão colhendo culturas em um mercado urbano 
 Donald Trump and Barack Obama are not good friends.,Donald Trump and Barack Obama are not good friends.,Donald Trump e Barack Obama não são bons amigos., donald trump and barack obama are not good friends ,donald trump and barack obama are not good friends ,donald trump e barack obama não são bons amigos 
 The same book that taught me about Urim and Tumim.,The same book that taught me about Urim and Tumim.,O mesmo livro que me ensinou sobre Urim e Tumim., the same book that taught me about urim and tumim ,the same book that taught me about urim and tumim ,o mesmo livro que me ensinou sobre urim e tumim 
 Going up to see Erin.,Going up to see Erin.,Subindo para ver Erin., going up to see erin ,going up to see erin ,subindo para ver erin 
 The giraffe was afraid.,The giraffe was afraid.,A girafa ficou com medo., the giraffe was afraid ,the giraffe was afraid ,a girafa ficou com medo 
 She retracted her statement.,She retracted her statement.,Ela retraiu sua declaração., she retracted her statement ,she retracted her statement ,ela retraiu sua declaração 
" It was, however, still so hot that it blew through the air.",Was it? So what? it’s still far away by his air flight.,"Era?, no entanto? ainda estava tão quente de seu voo pelo ar.", it was however still so hot that it blew through the air ,was it so what it s still far away by his air flight ,era no entanto ainda estava tão quente de seu voo pelo ar 
 A group of women singing together.,A group of women singing together.,Um grupo de mulheres cantando juntas., a group of women singing together ,a group of women singing together ,um grupo de mulheres cantando juntas 
 A young man is carrying something in a big plastic trash bag.,A young man is carrying something in a large black plastic trash bag.,Um jovem está carregando algo em um grande saco de lixo de plástico preto., a young man is carrying something in a big plastic trash bag ,a young man is carrying something in a large black plastic trash bag ,um jovem está carregando algo em um grande saco de lixo de plástico preto 
