translation,reference,source,translation_clean,reference_clean,source_clean
" Onde quer que você vá, faça o que você verá.","Wherever you go, do what you see.","Onde quer que você vá, faça o que você verá.", onde quer que você vá faça o que você verá ,wherever you go do what you see ,onde quer que você vá faça o que você verá 
 Os tarxistas mantêm a greve indefinidamente.,The taxi drivers remain on strike indefinitely.,Os taxistas mantêm a greve indefinidamente., os tarxistas mantêm a greve indefinidamente ,the taxi drivers remain on strike indefinitely ,os taxistas mantêm a greve indefinidamente 
 O cão preto pega um brinquedo da boca enquanto corre no canto.,The black dog catches a toy in its mouth while it runs in the field.,O cão preto pega um brinquedo na boca enquanto corre no campo., o cão preto pega um brinquedo da boca enquanto corre no canto ,the black dog catches a toy in its mouth while it runs in the field ,o cão preto pega um brinquedo na boca enquanto corre no campo 
 O espelho tem uma parte dental.,The mirror had a part made of metal,O espelho tinha uma parte de metal, o espelho tem uma parte dental ,the mirror had a part made of metal,o espelho tinha uma parte de metal
 O rum do pais tem certo,The path the country is taking is uncertain.,O rumo do páis é incerto., o rum do pais tem certo,the path the country is taking is uncertain ,o rumo do páis é incerto 
 O objetivo desta conversa é...,The purpose of the conversation is,O objetivo da conversa é, o objetivo desta conversa é ,the purpose of the conversation is,o objetivo da conversa é
 Estou interessado apenas no presente.,I'm only interested in the present.,Estou interessado apenas no presente., estou interessado apenas no presente ,i m only interested in the present ,estou interessado apenas no presente 
 Você vai deixá-la sair?,Are you going to let her go out?,Você vai deixá-la sair?, você vai deixá la sair ,are you going to let her go out ,você vai deixá la sair 
" Um bebebê chora enquanto cercado por verde, amarelo e brinquedos laranja.",A baby crying surrounded by green? Yellow? And orange toys.,Um bebê chora enquanto cercado por verde? amarelo? e brinquedos laranja., um bebebê chora enquanto cercado por verde amarelo e brinquedos laranja ,a baby crying surrounded by green yellow and orange toys ,um bebê chora enquanto cercado por verde amarelo e brinquedos laranja 
 Eu realmente não sei o que fazer.,I really don't know what to do.,Eu realmente não sei o que fazer., eu realmente não sei o que fazer ,i really don t know what to do ,eu realmente não sei o que fazer 
 Mas eles realmente não sabem o que estão dizendo.,But they really don't know what they are saying.,Mas eles realmente não sabem o que estão dizendo., mas eles realmente não sabem o que estão dizendo ,but they really don t know what they are saying ,mas eles realmente não sabem o que estão dizendo 
 Um cão pequeno joga com uma bola colorida na areia.,A small dog plays with a colorful ball in the sand.,Um cão pequeno joga com uma bola colorida na areia., um cão pequeno joga com uma bola colorida na areia ,a small dog plays with a colorful ball in the sand ,um cão pequeno joga com uma bola colorida na areia 
 Um cara tirando dinheiro de um caixa eletrônico.,A guy withdrawing money from an ATM.,Um cara tirando dinheiro de um caixa eletrônico., um cara tirando dinheiro de um caixa eletrônico ,a guy withdrawing money from an atm ,um cara tirando dinheiro de um caixa eletrônico 
 Como isso afeta você?,How does this affect you?,Como isso afeta você?, como isso afeta você ,how does this affect you ,como isso afeta você 
 NADA TAMELÁXICO QUANTO A SEDA DE UMA ARANHA,Nothing is as stretchy as a spider's silk.,Nada é tão elástico quanto a seda de uma aranha., nada tameláxico quanto a seda de uma aranha,nothing is as stretchy as a spider s silk ,nada é tão elástico quanto a seda de uma aranha 
 O encarnador apertou a válvula com vazamento.,The plumber tightened the leaking valve.,O encanador apertou a válvula com vazamento., o encarnador apertou a válvula com vazamento ,the plumber tightened the leaking valve ,o encanador apertou a válvula com vazamento 
 Dois amantes na varanda olham para cima e apontam para alguma coisa.,Two men on the balcony look up and point at something.,Dois homens na varanda olham para cima e apontam para alguma coisa., dois amantes na varanda olham para cima e apontam para alguma coisa ,two men on the balcony look up and point at something ,dois homens na varanda olham para cima e apontam para alguma coisa 
 Vingadores Guerra Infinita,Avengers: Infinity War.,Vingadores Guerra Infinita., vingadores guerra infinita,avengers infinity war ,vingadores guerra infinita 
 Uma fileira de mesas em um banco fora de um restaurante.,A row of tables and a bench outside of the restaurant.,Uma fileira de mesas e um banco fora de um restaurante, uma fileira de mesas em um banco fora de um restaurante ,a row of tables and a bench outside of the restaurant ,uma fileira de mesas e um banco fora de um restaurante
 4 crianças com idade escolar estão jogando queimada no ginásio.,Four school-aged children are playing dodgeball at the gymnasium.,Quatro crianças com idade escolar estão jogando queimada no ginásio, 4 crianças com idade escolar estão jogando queimada no ginásio ,four school aged children are playing dodgeball at the gymnasium ,quatro crianças com idade escolar estão jogando queimada no ginásio
 Isso passou pela minha cabeça.,It crossed my mind.,Isso passou pela minha cabeça., isso passou pela minha cabeça ,it crossed my mind ,isso passou pela minha cabeça 
 Honrar vem com sofrimento.,The honor comes with suffering.,Honrar vem com sofrimento., honrar vem com sofrimento ,the honor comes with suffering ,honrar vem com sofrimento 
" Bem-vindo, Senhor!","Welcome, sir!",Bem vindo senhor!, bem vindo senhor ,welcome sir ,bem vindo senhor 
 E ele perguntou ao menino se ele também estava em busca do alquimista.,And he asked the boy if he was also in search of the alchemist.,E ele perguntou ao menino se ele também estava em busca do alquimista., e ele perguntou ao menino se ele também estava em busca do alquimista ,and he asked the boy if he was also in search of the alchemist ,e ele perguntou ao menino se ele também estava em busca do alquimista 
 Homem Bonito e Bar de Vinhos estarão prontos em breve.,"A handsome man and a wine bar, they'll be ready soon.","Homem bonito e bar de vinhos, eles estarão prontos em breve.", homem bonito e bar de vinhos estarão prontos em breve ,a handsome man and a wine bar they ll be ready soon ,homem bonito e bar de vinhos eles estarão prontos em breve 
 Cortar o pano de ouro em fitas finas.,Cut the gold cloth into thin ribbons.,Cortar o pano de ouro em fitas finas., cortar o pano de ouro em fitas finas ,cut the gold cloth into thin ribbons ,cortar o pano de ouro em fitas finas 
 E esse é o seu casaco.,And this is your coat.,E esse é o seu casaco., e esse é o seu casaco ,and this is your coat ,e esse é o seu casaco 
 Toque no seu cabelo...,Touch your hair.,Toque no seu cabelo, toque no seu cabelo ,touch your hair ,toque no seu cabelo
" Meu nome é Mel Shinsendek, disse um velho.","“Is my name Melchizedek?"", said the old man.","""Meu nome é Melchizedek?"", disse o velho.", meu nome é mel shinsendek disse um velho , is my name melchizedek said the old man , meu nome é melchizedek disse o velho 
 Um cão do exército sendo treinado por um soldado.,A military dog being trained by a soldier.,Um cão do exército sendo treinado por um soldado., um cão do exército sendo treinado por um soldado ,a military dog being trained by a soldier ,um cão do exército sendo treinado por um soldado 
 Tão feliz quanto o dia é longo.,As happy as the day is long.,Tão feliz quanto o dia é longo, tão feliz quanto o dia é longo ,as happy as the day is long ,tão feliz quanto o dia é longo
 Um grupo de aldeões africanos na escola.,A group of African settlers at the school.,Um grupo de aldeões africanos na escola., um grupo de aldeões africanos na escola ,a group of african settlers at the school ,um grupo de aldeões africanos na escola 
 Essas pilulas fazem menos bem que outras.,These pills are more harmful than others.,Essas pílulas fazem menos bem que outras., essas pilulas fazem menos bem que outras ,these pills are more harmful than others ,essas pílulas fazem menos bem que outras 
 Por que a sujeta cobre a rodada?,Why is the ditch covering the space?,Por que a sarjeta cobre a rodada?, por que a sujeta cobre a rodada ,why is the ditch covering the space ,por que a sarjeta cobre a rodada 
 Uma pessoa flui na água perto de pedras e uma cachoeira.,A person floats in the water near the rocks and the waterfall.,Uma pessoa flutua na água perto de pedras e uma cachoeira., uma pessoa flui na água perto de pedras e uma cachoeira ,a person floats in the water near the rocks and the waterfall ,uma pessoa flutua na água perto de pedras e uma cachoeira 
 O meu cachorro late quando os estranhos chegam.,My dog barks when strangers arrive.,Meu cachorro late quando estranhos chegam., o meu cachorro late quando os estranhos chegam ,my dog barks when strangers arrive ,meu cachorro late quando estranhos chegam 
" Desculpe, o período de teste expirou.","Sorry, the trial period has expired.","Desculpe, o período de teste expirou.", desculpe o período de teste expirou ,sorry the trial period has expired ,desculpe o período de teste expirou 
" Uma mulher cava, uma tigela de comida e a come.",A woman prepares a bowl of food and eats it.,Uma mulher cava uma tigela de comida e a come., uma mulher cava uma tigela de comida e a come ,a woman prepares a bowl of food and eats it ,uma mulher cava uma tigela de comida e a come 
 Pessoas andando pela calçada ao lado de uma linha de lojas.,People walking on the sidewalk next to several stores.,Pessoas andando pela calçada ao lado de uma linha de lojas., pessoas andando pela calçada ao lado de uma linha de lojas ,people walking on the sidewalk next to several stores ,pessoas andando pela calçada ao lado de uma linha de lojas 
 Papai está com problemas?,Is daddy in trouble?,Papai está com problemas?, papai está com problemas ,is daddy in trouble ,papai está com problemas 
 Um garoto com uma bola de basquete.,A boy with a basketball.,Um garoto com uma bola de basquete., um garoto com uma bola de basquete ,a boy with a basketball ,um garoto com uma bola de basquete 
 Eu gostaria de ver o coração de uma sereia no meu cinema.,I would like to watch The Heart of a Mermaid at the cinema.,Eu gostaria de ver O Coração de uma Sereia no meu cinema, eu gostaria de ver o coração de uma sereia no meu cinema ,i would like to watch the heart of a mermaid at the cinema ,eu gostaria de ver o coração de uma sereia no meu cinema
" É bem simples, não é?","It's quite simple, isn't it?","É bem simples, não é?", é bem simples não é ,it s quite simple isn t it ,é bem simples não é 
 Nem isso foi tudo,That wasn't all.,Nem isso foi tudo., nem isso foi tudo,that wasn t all ,nem isso foi tudo 
 Jovens garotas estão dançando.,Young girls are dancing.,Jovens garotas estão dançando., jovens garotas estão dançando ,young girls are dancing ,jovens garotas estão dançando 
 Homem colocar ordem na cafeteria.,A man organizes the coffee shop.,Homem coloca ordem na cafeteria., homem colocar ordem na cafeteria ,a man organizes the coffee shop ,homem coloca ordem na cafeteria 
 O desespero é algo que nos assombra à noite.,Anxiety is something that haunts us at night.,O desespero é algo que nos assombra à noite., o desespero é algo que nos assombra à noite ,anxiety is something that haunts us at night ,o desespero é algo que nos assombra à noite 
 20 mil dólares por ano?,Twenty thousand dollars a year?,Vinte mil dólares por ano?, 20 mil dólares por ano ,twenty thousand dollars a year ,vinte mil dólares por ano 
 Eu sei tudo no país,I know everything in the country.,Eu sei tudo no país., eu sei tudo no país,i know everything in the country ,eu sei tudo no país 
 A jaqueta tinha um propósito e o menino também.,Did the jacket have a purpose? the boy had too.,A jaqueta tinha um propósito? e o menino também., a jaqueta tinha um propósito e o menino também ,did the jacket have a purpose the boy had too ,a jaqueta tinha um propósito e o menino também 
 Isso cobre o básico.,This covers the basics.,Isso cobre o básico., isso cobre o básico ,this covers the basics ,isso cobre o básico 
 Podemos planejar fazer isso na terça-feira?,Can we manage to do that on Tuesday?,Podemos planejar fazer isso na terça-feira?, podemos planejar fazer isso na terça feira ,can we manage to do that on tuesday ,podemos planejar fazer isso na terça feira 
 ELE NÃO FEZ ISSO,He didn't do that.,Ele não fez isso., ele não fez isso,he didn t do that ,ele não fez isso 
 Sabedoria e inteligência são duas coisas muito separadas.,Wisdom and intelligence are two different things.,Sabedoria e inteligência são duas coisas muito separadas., sabedoria e inteligência são duas coisas muito separadas ,wisdom and intelligence are two different things ,sabedoria e inteligência são duas coisas muito separadas 
 Lindo à noite.,Beautiful place at night.,lugar lindo à noite, lindo à noite ,beautiful place at night ,lugar lindo à noite
 Apenas a poucos metros há uma estação de ônibus.,There is a bus stop a few meters away.,Apenas a poucos metros há uma estação de ônibus., apenas a poucos metros há uma estação de ônibus ,there is a bus stop a few meters away ,apenas a poucos metros há uma estação de ônibus 
 Um parque beija na frente de um cais dianteiro da Bahia.,A couple is kissing at the Bayfront pier.,Um par que beija na frente de um cais dianteiro da baía., um parque beija na frente de um cais dianteiro da bahia ,a couple is kissing at the bayfront pier ,um par que beija na frente de um cais dianteiro da baía 
 Uma mulher que está sorrindo está usando um enfeite de cabeça único.,A woman who is smiling is wearing a unique headdress.,Uma mulher que está sorrindo está usando um enfeite de cabeça único, uma mulher que está sorrindo está usando um enfeite de cabeça único ,a woman who is smiling is wearing a unique headdress ,uma mulher que está sorrindo está usando um enfeite de cabeça único
 Foi apenas certo.,It was just right.,Foi apenas certo., foi apenas certo ,it was just right ,foi apenas certo 
 Uma criança está olhando pelo visor de uma câmera.,A child is looking through the viewfinder of a camera.,Uma criança está olhando pelo visor de uma câmera., uma criança está olhando pelo visor de uma câmera ,a child is looking through the viewfinder of a camera ,uma criança está olhando pelo visor de uma câmera 
 Um ciclista passa por uma rampa de terra e pega um pouco de ar.,A cyclist rides through a dirt ramp and gets some air.,Um ciclista passa por uma rampa de terra e pega um pouco de ar, um ciclista passa por uma rampa de terra e pega um pouco de ar ,a cyclist rides through a dirt ramp and gets some air ,um ciclista passa por uma rampa de terra e pega um pouco de ar
 Ouvir dizer que ganhei muito na porta ao lado.,I have heard in the next door that I won.,Ouvi dizer que ganhei muito na porta ao lado., ouvir dizer que ganhei muito na porta ao lado ,i have heard in the next door that i won ,ouvi dizer que ganhei muito na porta ao lado 
 GRANDEGROPE DE PESSOAS SENTADAS NA TENDA BRANCA,A large group of people sitting in the white tent.,Grande grupo de pessoas sentadas na tenda branca., grandegrope de pessoas sentadas na tenda branca,a large group of people sitting in the white tent ,grande grupo de pessoas sentadas na tenda branca 
 O menino loiro está de pé por uma cerca.,A blond boy is standing by a fence.,Um menino loiro está de pé por uma cerca., o menino loiro está de pé por uma cerca ,a blond boy is standing by a fence ,um menino loiro está de pé por uma cerca 
 Uma banda se apresenta em um palco.,A band performs on stage.,Uma banda se apresenta em um palco., uma banda se apresenta em um palco ,a band performs on stage ,uma banda se apresenta em um palco 
 O moço pediu duas águas de coco.,The man asked for two ... of coconut water.,O moço pediu duas águas de coco, o moço pediu duas águas de coco ,the man asked for two of coconut water ,o moço pediu duas águas de coco
 Ativar legendas,Enable subtitles.,Ativar legendas., ativar legendas,enable subtitles ,ativar legendas 
 Está quente no local atual?,Is it hot in the current location?,Está quente no local atual?, está quente no local atual ,is it hot in the current location ,está quente no local atual 
 Mr. Robinson chegará a tempo.,Mister Robinson will be on time.,Mister Robinson chegará a tempo., mr robinson chegará a tempo ,mister robinson will be on time ,mister robinson chegará a tempo 
 RESERVAR UM RESTAURANTE NA GEORGIA,Book a restaurant in Georgia.,reservar um restaurante na Geórgia, reservar um restaurante na georgia,book a restaurant in georgia ,reservar um restaurante na geórgia
 Uma criança está desfrutando de uma bebida no supermercado.,A child is enjoying a drink at the supermarket.,Uma criança está desfrutando de uma bebida no supermercado., uma criança está desfrutando de uma bebida no supermercado ,a child is enjoying a drink at the supermarket ,uma criança está desfrutando de uma bebida no supermercado 
 Recite o horário do filme.,Recite the movie time.,Recite o horário do filme., recite o horário do filme ,recite the movie time ,recite o horário do filme 
 42 não é um número aleatório.,Forty-two is not a random number.,Quarenta e dois não é um número aleatório., 42 não é um número aleatório ,forty two is not a random number ,quarenta e dois não é um número aleatório 
 Um cachorro corre pela grama.,A dog runs across the grass.,um cachorro corre pela grama., um cachorro corre pela grama ,a dog runs across the grass ,um cachorro corre pela grama 
 Eu queimei a omelete.,I burned the omelet.,Eu queimei a omelete., eu queimei a omelete ,i burned the omelet ,eu queimei a omelete 
 O cachorro marrom está correndo em direção a um tubo azul e amarelo.,The brown dog is running towards a blue and yellow tube.,O cachorro marrom está correndo em direção a um tubo azul e amarelo, o cachorro marrom está correndo em direção a um tubo azul e amarelo ,the brown dog is running towards a blue and yellow tube ,o cachorro marrom está correndo em direção a um tubo azul e amarelo
 Uma mulher em uma camisa azul e calça preta está consertando a sua meia branca.,A woman in a blue shirt and black pants is straightening her white sock.,Uma mulher em uma camisa azul e calça preta está consertando sua meia branca., uma mulher em uma camisa azul e calça preta está consertando a sua meia branca ,a woman in a blue shirt and black pants is straightening her white sock ,uma mulher em uma camisa azul e calça preta está consertando sua meia branca 
 Uma criança brincando com bolhas e andando.,A child is walking and playing with bubbles.,Uma criança brincando com bolhas e andando., uma criança brincando com bolhas e andando ,a child is walking and playing with bubbles ,uma criança brincando com bolhas e andando 
 As pessoas estão passeando em um mercado.,People are strolling in a market.,As pessoas estão passeando em um mercado, as pessoas estão passeando em um mercado ,people are strolling in a market ,as pessoas estão passeando em um mercado
" Um homem mais velho, em uma jaqueta preta, olhando para baixo.",An old man in a black jacket is looking down.,"Um homem mais velho em uma jaqueta preta, olhando para baixo", um homem mais velho em uma jaqueta preta olhando para baixo ,an old man in a black jacket is looking down ,um homem mais velho em uma jaqueta preta olhando para baixo
" Dois jogadores de futebol, jovens, vestindo uniformes azuis e amarelos lutam pela bola.",Two young soccer players wearing blue and yellow uniforms fight for the ball.,Dois jogadores de futebol jovens vestindo uniformes azuis e amarelos lutam pela bola., dois jogadores de futebol jovens vestindo uniformes azuis e amarelos lutam pela bola ,two young soccer players wearing blue and yellow uniforms fight for the ball ,dois jogadores de futebol jovens vestindo uniformes azuis e amarelos lutam pela bola 
 O tráfego era enorme.,The place was busy.,O tráfego era enorme., o tráfego era enorme ,the place was busy ,o tráfego era enorme 
 Você deixou de fora o número 5.,You didn't include the number five.,Você deixou de fora o número cinco., você deixou de fora o número 5 ,you didn t include the number five ,você deixou de fora o número cinco 
" A bússola apontava, como sempre, para o Norte.","The compass pointed, as always, to the north.","A bússola apontava, como sempre para o norte", a bússola apontava como sempre para o norte ,the compass pointed as always to the north ,a bússola apontava como sempre para o norte
 Recuou para o buraco.,Moved back to the hole.,Recuou para o buraco., recuou para o buraco ,moved back to the hole ,recuou para o buraco 
 Um lance forte pode assustar seu parceiro.,A strong decision can scare your partner.,Um lance forte pode assustar seu parceiro., um lance forte pode assustar seu parceiro ,a strong decision can scare your partner ,um lance forte pode assustar seu parceiro 
 Eu deveria dizer não.,I should say no!,Eu deveria dizer não!, eu deveria dizer não ,i should say no ,eu deveria dizer não 
 Você vai me perguntar o que?,What are you going to ask?,Você vai me perguntar o que?, você vai me perguntar o que ,what are you going to ask ,você vai me perguntar o que 
 Uma mulher de óculos escuros caminha pela rua carregando uma bolsa azul.,Is it a woman in dark glasses walking down the street? Carrying a blue bag?,Uma mulher de óculos escuros caminha pela rua? carregando uma bolsa azul., uma mulher de óculos escuros caminha pela rua carregando uma bolsa azul ,is it a woman in dark glasses walking down the street carrying a blue bag ,uma mulher de óculos escuros caminha pela rua carregando uma bolsa azul 
 Trabaladores de escritorio se divergindo.,Office workers having fun.,Trabalhadores de escritório se divertindo., trabaladores de escritorio se divergindo ,office workers having fun ,trabalhadores de escritório se divertindo 
 Como foi a comida lá?,How was the food there?,Como foi a comida lá?, como foi a comida lá ,how was the food there ,como foi a comida lá 
 Onde você esteve esta tarde?,Where have you been during this afternoon?,Onde você esteve esta tarde?, onde você esteve esta tarde ,where have you been during this afternoon ,onde você esteve esta tarde 
 Vocês dois se sentam aqui.,"You two, sit here.",Vocês dois se sentam aqui., vocês dois se sentam aqui ,you two sit here ,vocês dois se sentam aqui 
 E você não pode libertá-lo?,Can't you free him?,E você não pode libertá-lo?, e você não pode libertá lo ,can t you free him ,e você não pode libertá lo 
" FEVEREIRO, NÃO DEIXE CARNEIRO O CORDEIRO.",February takes everything away.,Fevereiro não deixa carneiro ou cordeiro., fevereiro não deixe carneiro o cordeiro ,february takes everything away ,fevereiro não deixa carneiro ou cordeiro 
" Mais cedo ou mais tarde, eles descobriram como ler esses ielogrófilos.","Sooner or later, they will discover how to read these hieroglyphs.","Mais cedo ou mais tarde, eles descobrirão como ler esses hieróglifos.", mais cedo ou mais tarde eles descobriram como ler esses ielogrófilos ,sooner or later they will discover how to read these hieroglyphs ,mais cedo ou mais tarde eles descobrirão como ler esses hieróglifos 
 VOCÊ NÃO GOSTARIA DE MATAR NIGUINH.,You wouldn't like to kill anyone.,Você não gostaria de matar ninguém., você não gostaria de matar niguinh ,you wouldn t like to kill anyone ,você não gostaria de matar ninguém 
 Família reunida em uma casa desfrutando de companhia.,The family is together at home enjoying each other's company.,Família reunida em uma casa desfrutando de companhia, família reunida em uma casa desfrutando de companhia ,the family is together at home enjoying each other s company ,família reunida em uma casa desfrutando de companhia
 As pessoas ficam ao lado de fora vendo motociclistas dirigidas por uma estrada.,People stand outside watching the motorcycles driving down the road.,As pessoas ficam do lado de fora vendo motocicletas dirigir por uma estrada., as pessoas ficam ao lado de fora vendo motociclistas dirigidas por uma estrada ,people stand outside watching the motorcycles driving down the road ,as pessoas ficam do lado de fora vendo motocicletas dirigir por uma estrada 
 Uma criança nova que joga com seus trens do brinquedo.,A young child that plays with his toy trains.,Uma criança nova que joga com seus trens do brinquedo., uma criança nova que joga com seus trens do brinquedo ,a young child that plays with his toy trains ,uma criança nova que joga com seus trens do brinquedo 
 MUITO DINHEIRO,A lot of money.,Muito dinheiro., muito dinheiro,a lot of money ,muito dinheiro 
 Eu peguei um número e encontrei meu lugar.,I took a number and found my place.,Eu peguei um número e encontrei meu lugar., eu peguei um número e encontrei meu lugar ,i took a number and found my place ,eu peguei um número e encontrei meu lugar 
 CORRENDO CAVALO LÁPIDO GRAVE,"Horse running, grave headstone.","Correndo cavalo, lápide grave.", correndo cavalo lápido grave,horse running grave headstone ,correndo cavalo lápide grave 
 Estamos aqui para pedir emprestado.,We are here to ask to borrow it.,Estamos aqui para pedir emprestado, estamos aqui para pedir emprestado ,we are here to ask to borrow it ,estamos aqui para pedir emprestado
 Graças a Deus você está aqui.,Thank God you're here!,Graças a Deus você está aqui!, graças a deus você está aqui ,thank god you re here ,graças a deus você está aqui 
 Precisamos nos apressar.,We have to hurry up.,Precisamos nos apressar., precisamos nos apressar ,we have to hurry up ,precisamos nos apressar 
 A necessidade é pai na inovação.,Necessity is innovation's father.,A necessidade é o pai na inovação., a necessidade é pai na inovação ,necessity is innovation s father ,a necessidade é o pai na inovação 
 Ela não pôde evitar.,He couldn't avoid it.,Ele não pôde evitar., ela não pôde evitar ,he couldn t avoid it ,ele não pôde evitar 
 Cavaleiro da bicicleta pulando obstáculos.,Mountain bike rider jumping over obstacles.,Cavaleiro da bicicleta pulando obstáculos., cavaleiro da bicicleta pulando obstáculos ,mountain bike rider jumping over obstacles ,cavaleiro da bicicleta pulando obstáculos 
 Uma menina pendura de cabeça para baixo em um balanço em um parque.,A girl hangs upside down on a swing at a park.,Uma menina pendura de cabeça para baixo em um balanço em um parque, uma menina pendura de cabeça para baixo em um balanço em um parque ,a girl hangs upside down on a swing at a park ,uma menina pendura de cabeça para baixo em um balanço em um parque
 Vou mandar alguns e-mails para minha família.,I will send some emails to my family.,Vou mandar alguns e-mails para minha família., vou mandar alguns e mails para minha família ,i will send some emails to my family ,vou mandar alguns e mails para minha família 
 É comum os usuários confundirem software livre com software livre.,It's common for users to confuse free software with paid software.,É comum os usuários confundirem software livre com software livre., é comum os usuários confundirem software livre com software livre ,it s common for users to confuse free software with paid software ,é comum os usuários confundirem software livre com software livre 
" Na indicação do testador, a tentativa será concluída.","At the tester's appointment, the attempt will be completed.","Na indicação do testador, a tentativa será concluída.", na indicação do testador a tentativa será concluída ,at the tester s appointment the attempt will be completed ,na indicação do testador a tentativa será concluída 
 Um rastreador vibrante caminha por uma trilha panorâmica.,A vibrant tracker tracks along a scenic trail.,Um rastreador vibrante caminha por uma trilha panorâmica., um rastreador vibrante caminha por uma trilha panorâmica ,a vibrant tracker tracks along a scenic trail ,um rastreador vibrante caminha por uma trilha panorâmica 
" 3 homens estão na praia, totalmente vestidos.",Are three fully dressed men on the beach?,Três homens estão na praia? totalmente vestidos., 3 homens estão na praia totalmente vestidos ,are three fully dressed men on the beach ,três homens estão na praia totalmente vestidos 
 A expressão facial autêntica do ator estava convencendo o júri.,The actor's authentic facial expression was convincing the jury.,A expressão facial autêntica do ator estava convencendo o júri., a expressão facial autêntica do ator estava convencendo o júri ,the actor s authentic facial expression was convincing the jury ,a expressão facial autêntica do ator estava convencendo o júri 
 VOCÊ SABEM O O DE MORO,You know where I live.,Você sabe onde eu moro., você sabem o o de moro,you know where i live ,você sabe onde eu moro 
 Alguns japoneses desfrutam de shows de fogos artifício em uma rua local.,Some Japanese people enjoy fireworks shows on a local street.,Alguns japoneses desfrutam de shows de fogos de artifício em uma rua local, alguns japoneses desfrutam de shows de fogos artifício em uma rua local ,some japanese people enjoy fireworks shows on a local street ,alguns japoneses desfrutam de shows de fogos de artifício em uma rua local
 Algumas pessoas estão examinando os vinhos em uma mesa.,Some people are tasting wines at the table.,Algumas pessoas estão examinando vinhos em uma mesa., algumas pessoas estão examinando os vinhos em uma mesa ,some people are tasting wines at the table ,algumas pessoas estão examinando vinhos em uma mesa 
 Um cão marrom muito molhado está emergindo da água.,A very wet brown dog is coming out of the water.,Um cão marrom muito molhado está emergindo da água., um cão marrom muito molhado está emergindo da água ,a very wet brown dog is coming out of the water ,um cão marrom muito molhado está emergindo da água 
 TODOS RIRAM Todos riram,Everyone laughed.,Todos riram, todos riram todos riram,everyone laughed ,todos riram
" Um portador trabalha em empunhar uma viga no lugar, enquanto outros trabalhadores colocam vigas.",A mason works to construct a beam while the other workers place the beams.,Um portador trabalha em empunhar uma viga no lugar enquanto outros trabalhadores colocam vigas., um portador trabalha em empunhar uma viga no lugar enquanto outros trabalhadores colocam vigas ,a mason works to construct a beam while the other workers place the beams ,um portador trabalha em empunhar uma viga no lugar enquanto outros trabalhadores colocam vigas 
 Nenhuma interrupção até hoje.,No interruption to date.,Nenhuma interrupção até hoje, nenhuma interrupção até hoje ,no interruption to date ,nenhuma interrupção até hoje
,"""Shall we stop this one?"", another commander said.","""Vamos parar este?"", disse outro comandante.",, shall we stop this one another commander said , vamos parar este disse outro comandante 
 342 pessoas foram convidadas.,Three hundred and forty-two people were invited.,Trezentos e quarenta e duas pessoas foram convidadas., 342 pessoas foram convidadas ,three hundred and forty two people were invited ,trezentos e quarenta e duas pessoas foram convidadas 
 Venha antes do tempo acordado.,Come early than the agreed time.,Venha antes do tempo acordado, venha antes do tempo acordado ,come early than the agreed time ,venha antes do tempo acordado
 As pessoas estão do lado de fora de um edifício perto de uma rua.,People are outside a building next to the street.,As pessoas estão do lado de fora de um edifício perto de uma rua., as pessoas estão do lado de fora de um edifício perto de uma rua ,people are outside a building next to the street ,as pessoas estão do lado de fora de um edifício perto de uma rua 
