,transcription,sentence,translation,transcription_clean,sentence_clean,translation_clean
33, E ele perguntou ao menino se ele também estava em busca do oque misto.,E ele perguntou ao menino se ele também estava em busca do alquimista.,And he asked the boy if he was also in search of the alchemist., e ele perguntou ao menino se ele também estava em busca do oque misto ,e ele perguntou ao menino se ele também estava em busca do alquimista ,and he asked the boy if he was also in search of the alchemist 
34," O homem bonito e bar de vinhos, eles estarão prontos em breve.","Homem bonito e bar de vinhos, eles estarão prontos em breve.","A handsome man and a wine bar, they'll be ready soon.", o homem bonito e bar de vinhos eles estarão prontos em breve ,homem bonito e bar de vinhos eles estarão prontos em breve ,a handsome man and a wine bar they ll be ready soon 
35," Cortar, pupando de ouro e fita chinas.",Cortar o pano de ouro em fitas finas.,Cut the gold cloth into thin ribbons., cortar pupando de ouro e fita chinas ,cortar o pano de ouro em fitas finas ,cut the gold cloth into thin ribbons 
36, E esse não se o cal похож,E esse é o seu casaco.,And this is your coat., e esse não se o cal похож,e esse é o seu casaco ,and this is your coat 
37, Toque no seu cabelo.,Toque no seu cabelo,Touch your hair., toque no seu cabelo ,toque no seu cabelo,touch your hair 
38, meu nome é make it<|pt|>,"""Meu nome é Melchizedek?"", disse o velho.","“Is my name Melchizedek?"", said the old man.", meu nome é make it, meu nome é melchizedek disse o velho , is my name melchizedek said the old man 
39, Um câmbio exército sendo treinado por um soldado.,Um cão do exército sendo treinado por um soldado.,A military dog being trained by a soldier., um câmbio exército sendo treinado por um soldado ,um cão do exército sendo treinado por um soldado ,a military dog being trained by a soldier 
40, Então feliz quanto o dia é longo.,Tão feliz quanto o dia é longo,As happy as the day is long., então feliz quanto o dia é longo ,tão feliz quanto o dia é longo,as happy as the day is long 
41, Um grupo de ideões africanos na escola.,Um grupo de aldeões africanos na escola.,A group of African settlers at the school., um grupo de ideões africanos na escola ,um grupo de aldeões africanos na escola ,a group of african settlers at the school 
42, Essas pilulas fazem menos bem que outras.,Essas pílulas fazem menos bem que outras.,These pills are more harmful than others., essas pilulas fazem menos bem que outras ,essas pílulas fazem menos bem que outras ,these pills are more harmful than others 
43, Por que a sojeta cobrir a rodada?,Por que a sarjeta cobre a rodada?,Why is the ditch covering the space?, por que a sojeta cobrir a rodada ,por que a sarjeta cobre a rodada ,why is the ditch covering the space 
44, Uma pessoa fluchou a água perto de Pedras e uma caixoeira.,Uma pessoa flutua na água perto de pedras e uma cachoeira.,A person floats in the water near the rocks and the waterfall., uma pessoa fluchou a água perto de pedras e uma caixoeira ,uma pessoa flutua na água perto de pedras e uma cachoeira ,a person floats in the water near the rocks and the waterfall 
45, Meu cachorro late quando nos estranho chega.,Meu cachorro late quando estranhos chegam.,My dog barks when strangers arrive., meu cachorro late quando nos estranho chega ,meu cachorro late quando estranhos chegam ,my dog barks when strangers arrive 
46, Desculpe o período de testes pirou.,"Desculpe, o período de teste expirou.","Sorry, the trial period has expired.", desculpe o período de testes pirou ,desculpe o período de teste expirou ,sorry the trial period has expired 
47," Uma molhecava, uma tigela de comida e a come.",Uma mulher cava uma tigela de comida e a come.,A woman prepares a bowl of food and eats it., uma molhecava uma tigela de comida e a come ,uma mulher cava uma tigela de comida e a come ,a woman prepares a bowl of food and eats it 
48, pessoas anando para calçada ao lado de uma linha de lojas,Pessoas andando pela calçada ao lado de uma linha de lojas.,People walking on the sidewalk next to several stores., pessoas anando para calçada ao lado de uma linha de lojas,pessoas andando pela calçada ao lado de uma linha de lojas ,people walking on the sidewalk next to several stores 
49, Papai está pro programa?,Papai está com problemas?,Is daddy in trouble?, papai está pro programa ,papai está com problemas ,is daddy in trouble 
50, um galoto com uma bola de basquete,Um garoto com uma bola de basquete.,A boy with a basketball., um galoto com uma bola de basquete,um garoto com uma bola de basquete ,a boy with a basketball 
51, Eu gostaria de ver uma colação de maciadelinha no meu cinema.,Eu gostaria de ver O Coração de uma Sereia no meu cinema,I would like to watch The Heart of a Mermaid at the cinema., eu gostaria de ver uma colação de maciadelinha no meu cinema ,eu gostaria de ver o coração de uma sereia no meu cinema,i would like to watch the heart of a mermaid at the cinema 
52, É bem simples não é?,"É bem simples, não é?","It's quite simple, isn't it?", é bem simples não é ,é bem simples não é ,it s quite simple isn t it 
53, Nem isso foi tudo.,Nem isso foi tudo.,That wasn't all., nem isso foi tudo ,nem isso foi tudo ,that wasn t all 
54, Já tem de garotas estão passando.,Jovens garotas estão dançando.,Young girls are dancing., já tem de garotas estão passando ,jovens garotas estão dançando ,young girls are dancing 
55, O micro lotor de na café teria.,Homem coloca ordem na cafeteria.,A man organizes the coffee shop., o micro lotor de na café teria ,homem coloca ordem na cafeteria ,a man organizes the coffee shop 
56, O desespero é algo que nos assombra noite.,O desespero é algo que nos assombra à noite.,Anxiety is something that haunts us at night., o desespero é algo que nos assombra noite ,o desespero é algo que nos assombra à noite ,anxiety is something that haunts us at night 
57, 20.000 dólares por ano.,Vinte mil dólares por ano?,Twenty thousand dollars a year?, 20 000 dólares por ano ,vinte mil dólares por ano ,twenty thousand dollars a year 
58, Eu sei tudo no país.,Eu sei tudo no país.,I know everything in the country., eu sei tudo no país ,eu sei tudo no país ,i know everything in the country 
59, A jaqueta tinha um propósito e o menino também.,A jaqueta tinha um propósito? e o menino também.,Did the jacket have a purpose? the boy had too., a jaqueta tinha um propósito e o menino também ,a jaqueta tinha um propósito e o menino também ,did the jacket have a purpose the boy had too 
60, Isso cobre o básico.,Isso cobre o básico.,This covers the basics., isso cobre o básico ,isso cobre o básico ,this covers the basics 
61, Podemos planejar fazer isso na terça-feira.,Podemos planejar fazer isso na terça-feira?,Can we manage to do that on Tuesday?, podemos planejar fazer isso na terça feira ,podemos planejar fazer isso na terça feira ,can we manage to do that on tuesday 
62, Ele não fez isso.,Ele não fez isso.,He didn't do that., ele não fez isso ,ele não fez isso ,he didn t do that 
63, Sabedoria e inteligência são duas coisas muito separadas.,Sabedoria e inteligência são duas coisas muito separadas.,Wisdom and intelligence are two different things., sabedoria e inteligência são duas coisas muito separadas ,sabedoria e inteligência são duas coisas muito separadas ,wisdom and intelligence are two different things 
64, Notaram-se любов 9 e eu tenho tudo que st väcream烹ar na estesha.,lugar lindo à noite,Beautiful place at night., notaram se любов 9 e eu tenho tudo que st väcream烹ar na estesha ,lugar lindo à noite,beautiful place at night 
65, apenas poucos metros à uma estação de ônibus.,Apenas a poucos metros há uma estação de ônibus.,There is a bus stop a few meters away., apenas poucos metros à uma estação de ônibus ,apenas a poucos metros há uma estação de ônibus ,there is a bus stop a few meters away 
66, Um parque beija na frente de um caiz de anteiro da Bahia.,Um par que beija na frente de um cais dianteiro da baía.,A couple is kissing at the Bayfront pier., um parque beija na frente de um caiz de anteiro da bahia ,um par que beija na frente de um cais dianteiro da baía ,a couple is kissing at the bayfront pier 
67, A mulher que está sobrindo está usando um enfeite de cabeça único.,Uma mulher que está sorrindo está usando um enfeite de cabeça único,A woman who is smiling is wearing a unique headdress., a mulher que está sobrindo está usando um enfeite de cabeça único ,uma mulher que está sorrindo está usando um enfeite de cabeça único,a woman who is smiling is wearing a unique headdress 
68, Foi um p hatten certo tem um cabànhuíto de fôr p Victoria do cooked,Foi apenas certo.,It was just right., foi um p hatten certo tem um cabànhuíto de fôr p victoria do cooked,foi apenas certo ,it was just right 
69, Uma criança está olhando pelo vizor de uma câmera.,Uma criança está olhando pelo visor de uma câmera.,A child is looking through the viewfinder of a camera., uma criança está olhando pelo vizor de uma câmera ,uma criança está olhando pelo visor de uma câmera ,a child is looking through the viewfinder of a camera 
70, Um ciclista passa por uma rampa de terra e pega um pouco de ar.,Um ciclista passa por uma rampa de terra e pega um pouco de ar,A cyclist rides through a dirt ramp and gets some air., um ciclista passa por uma rampa de terra e pega um pouco de ar ,um ciclista passa por uma rampa de terra e pega um pouco de ar,a cyclist rides through a dirt ramp and gets some air 
71, O vídeo de Zerke ganhei muito na porta ao lado.,Ouvi dizer que ganhei muito na porta ao lado.,I have heard in the next door that I won., o vídeo de zerke ganhei muito na porta ao lado ,ouvi dizer que ganhei muito na porta ao lado ,i have heard in the next door that i won 
72, Grande grupo de pessoas sentadas na tenda branca.,Grande grupo de pessoas sentadas na tenda branca.,A large group of people sitting in the white tent., grande grupo de pessoas sentadas na tenda branca ,grande grupo de pessoas sentadas na tenda branca ,a large group of people sitting in the white tent 
73, O menino Lloyd está de beb por uma circa.,Um menino loiro está de pé por uma cerca.,A blond boy is standing by a fence., o menino lloyd está de beb por uma circa ,um menino loiro está de pé por uma cerca ,a blond boy is standing by a fence 
74, Uma banda se apresenta em um pau.,Uma banda se apresenta em um palco.,A band performs on stage., uma banda se apresenta em um pau ,uma banda se apresenta em um palco ,a band performs on stage 
75, O moço pediu 2 águas de coco.,O moço pediu duas águas de coco,The man asked for two ... of coconut water., o moço pediu 2 águas de coco ,o moço pediu duas águas de coco,the man asked for two of coconut water 
76, Ativa legindo.,Ativar legendas.,Enable subtitles., ativa legindo ,ativar legendas ,enable subtitles 
77, Está quente no local atlo?,Está quente no local atual?,Is it hot in the current location?, está quente no local atlo ,está quente no local atual ,is it hot in the current location 
78, Miste Robinson chegará a tempo.,Mister Robinson chegará a tempo.,Mister Robinson will be on time., miste robinson chegará a tempo ,mister robinson chegará a tempo ,mister robinson will be on time 
79, Reservar um restaurante na geórdia.,reservar um restaurante na Geórgia,Book a restaurant in Georgia., reservar um restaurante na geórdia ,reservar um restaurante na geórgia,book a restaurant in georgia 
80, Uma criança está desfrutando de uma bebida no suco mercado.,Uma criança está desfrutando de uma bebida no supermercado.,A child is enjoying a drink at the supermarket., uma criança está desfrutando de uma bebida no suco mercado ,uma criança está desfrutando de uma bebida no supermercado ,a child is enjoying a drink at the supermarket 
81, Recite o horário do filme.,Recite o horário do filme.,Recite the movie time., recite o horário do filme ,recite o horário do filme ,recite the movie time 
82, Pois não é um número aleatório.,Quarenta e dois não é um número aleatório.,Forty-two is not a random number., pois não é um número aleatório ,quarenta e dois não é um número aleatório ,forty two is not a random number 
83, Um cachorro corre para o adenão.,um cachorro corre pela grama.,A dog runs across the grass., um cachorro corre para o adenão ,um cachorro corre pela grama ,a dog runs across the grass 
84, Eu quei meia um melente.,Eu queimei a omelete.,I burned the omelet., eu quei meia um melente ,eu queimei a omelete ,i burned the omelet 
85," O cachorro com a monstre correndo em direção, tuba azul e amarelo.",O cachorro marrom está correndo em direção a um tubo azul e amarelo,The brown dog is running towards a blue and yellow tube., o cachorro com a monstre correndo em direção tuba azul e amarelo ,o cachorro marrom está correndo em direção a um tubo azul e amarelo,the brown dog is running towards a blue and yellow tube 
86, Uma mulher em um camisazú e calça preta está consertando a sua meia branca.,Uma mulher em uma camisa azul e calça preta está consertando sua meia branca.,A woman in a blue shirt and black pants is straightening her white sock., uma mulher em um camisazú e calça preta está consertando a sua meia branca ,uma mulher em uma camisa azul e calça preta está consertando sua meia branca ,a woman in a blue shirt and black pants is straightening her white sock 
87, Uma criança brincando com bolhas e andando.,Uma criança brincando com bolhas e andando.,A child is walking and playing with bubbles., uma criança brincando com bolhas e andando ,uma criança brincando com bolhas e andando ,a child is walking and playing with bubbles 
88, As pessoas estão passeando em uma cada.,As pessoas estão passeando em um mercado,People are strolling in a market., as pessoas estão passeando em uma cada ,as pessoas estão passeando em um mercado,people are strolling in a market 
89," um homem mais velho em mão de aqueta preta, folhando para o baixo.","Um homem mais velho em uma jaqueta preta, olhando para baixo",An old man in a black jacket is looking down., um homem mais velho em mão de aqueta preta folhando para o baixo ,um homem mais velho em uma jaqueta preta olhando para baixo,an old man in a black jacket is looking down 
90," E dois jogadores de football, jovens, vestindo uniformes, as azois e amarelos, lutam pela bola.",Dois jogadores de futebol jovens vestindo uniformes azuis e amarelos lutam pela bola.,Two young soccer players wearing blue and yellow uniforms fight for the ball., e dois jogadores de football jovens vestindo uniformes as azois e amarelos lutam pela bola ,dois jogadores de futebol jovens vestindo uniformes azuis e amarelos lutam pela bola ,two young soccer players wearing blue and yellow uniforms fight for the ball 
91, O tráfico era enorme.,O tráfego era enorme.,The place was busy., o tráfico era enorme ,o tráfego era enorme ,the place was busy 
92, Você deixou de fora o número 5.,Você deixou de fora o número cinco.,You didn't include the number five., você deixou de fora o número 5 ,você deixou de fora o número cinco ,you didn t include the number five 
93, A bústula abondava como sempre está o norte.,"A bússola apontava, como sempre para o norte","The compass pointed, as always, to the north.", a bústula abondava como sempre está o norte ,a bússola apontava como sempre para o norte,the compass pointed as always to the north 
94, Reclo para o buraco.,Recuou para o buraco.,Moved back to the hole., reclo para o buraco ,recuou para o buraco ,moved back to the hole 
95, Um lance forte pode assustar seu passeiro.,Um lance forte pode assustar seu parceiro.,A strong decision can scare your partner., um lance forte pode assustar seu passeiro ,um lance forte pode assustar seu parceiro ,a strong decision can scare your partner 
96, Eu deveria dizer não.,Eu deveria dizer não!,I should say no!, eu deveria dizer não ,eu deveria dizer não ,i should say no 
97, Você vai me perguntar o quê?,Você vai me perguntar o que?,What are you going to ask?, você vai me perguntar o quê ,você vai me perguntar o que ,what are you going to ask 
98, Uma mulher de ófidos escúlios caminha pela rua carregando uma bolsa azul.,Uma mulher de óculos escuros caminha pela rua? carregando uma bolsa azul.,Is it a woman in dark glasses walking down the street? Carrying a blue bag?, uma mulher de ófidos escúlios caminha pela rua carregando uma bolsa azul ,uma mulher de óculos escuros caminha pela rua carregando uma bolsa azul ,is it a woman in dark glasses walking down the street carrying a blue bag 
99," Trabalha dores, descretor e os sete vercinhos.",Trabalhadores de escritório se divertindo.,Office workers having fun., trabalha dores descretor e os sete vercinhos ,trabalhadores de escritório se divertindo ,office workers having fun 
100, Como foi a comida da...,Como foi a comida lá?,How was the food there?, como foi a comida da ,como foi a comida lá ,how was the food there 
101, onde você esteve este tarde.,Onde você esteve esta tarde?,Where have you been during this afternoon?, onde você esteve este tarde ,onde você esteve esta tarde ,where have you been during this afternoon 
102, Vocês dois se sentam aqui.,Vocês dois se sentam aqui.,"You two, sit here.", vocês dois se sentam aqui ,vocês dois se sentam aqui ,you two sit here 
103, e você não pode libertá-lo.,E você não pode libertá-lo?,Can't you free him?, e você não pode libertá lo ,e você não pode libertá lo ,can t you free him 
104, Feverir não deixe carneiro o cordeiro.,Fevereiro não deixa carneiro ou cordeiro.,February takes everything away., feverir não deixe carneiro o cordeiro ,fevereiro não deixa carneiro ou cordeiro ,february takes everything away 
105," Mas sendo ou mais tarde, eles descobriram como ler esses hilo-grofinos.","Mais cedo ou mais tarde, eles descobrirão como ler esses hieróglifos.","Sooner or later, they will discover how to read these hieroglyphs.", mas sendo ou mais tarde eles descobriram como ler esses hilo grofinos ,mais cedo ou mais tarde eles descobrirão como ler esses hieróglifos ,sooner or later they will discover how to read these hieroglyphs 
106, Você não gostaria de matar compatible?,Você não gostaria de matar ninguém.,You wouldn't like to kill anyone., você não gostaria de matar compatible ,você não gostaria de matar ninguém ,you wouldn t like to kill anyone 
107, Fomira reunida em uma casa desfrutando de companhia.,Família reunida em uma casa desfrutando de companhia,The family is together at home enjoying each other's company., fomira reunida em uma casa desfrutando de companhia ,família reunida em uma casa desfrutando de companhia,the family is together at home enjoying each other s company 
108, As pessoas ficam ao lado de fora vendo uma torcicreça de lhe digindo por uma estrada.,As pessoas ficam do lado de fora vendo motocicletas dirigir por uma estrada.,People stand outside watching the motorcycles driving down the road., as pessoas ficam ao lado de fora vendo uma torcicreça de lhe digindo por uma estrada ,as pessoas ficam do lado de fora vendo motocicletas dirigir por uma estrada ,people stand outside watching the motorcycles driving down the road 
109, Uma criança nova que joga com seus treinos do brinquedo.,Uma criança nova que joga com seus trens do brinquedo.,A young child that plays with his toy trains., uma criança nova que joga com seus treinos do brinquedo ,uma criança nova que joga com seus trens do brinquedo ,a young child that plays with his toy trains 
110, Muito dinheiro.,Muito dinheiro.,A lot of money., muito dinheiro ,muito dinheiro ,a lot of money 
111, Eu peguei um número e encontrei meu lugar.,Eu peguei um número e encontrei meu lugar.,I took a number and found my place., eu peguei um número e encontrei meu lugar ,eu peguei um número e encontrei meu lugar ,i took a number and found my place 
112, Correndo o cavalo lápid grave.,"Correndo cavalo, lápide grave.","Horse running, grave headstone.", correndo o cavalo lápid grave ,correndo cavalo lápide grave ,horse running grave headstone 
113, Estamos aqui para pedir em plastado.,Estamos aqui para pedir emprestado,We are here to ask to borrow it., estamos aqui para pedir em plastado ,estamos aqui para pedir emprestado,we are here to ask to borrow it 
114, 봤racada.,Graças a Deus você está aqui!,Thank God you're here!, 봤racada ,graças a deus você está aqui ,thank god you re here 
115, Precisamos nos apresar.,Precisamos nos apressar.,We have to hurry up., precisamos nos apresar ,precisamos nos apressar ,we have to hurry up 
116, a necessidade de após na inovação.,A necessidade é o pai na inovação.,Necessity is innovation's father., a necessidade de após na inovação ,a necessidade é o pai na inovação ,necessity is innovation s father 
117, Ela não hoje é fitada.,Ele não pôde evitar.,He couldn't avoid it., ela não hoje é fitada ,ele não pôde evitar ,he couldn t avoid it 
118, A valêidula de cicleta pulando obstáculos.,Cavaleiro da bicicleta pulando obstáculos.,Mountain bike rider jumping over obstacles., a valêidula de cicleta pulando obstáculos ,cavaleiro da bicicleta pulando obstáculos ,mountain bike rider jumping over obstacles 
119, Uma menina pendurante de cabeça para baixo em balança em um parque.,Uma menina pendura de cabeça para baixo em um balanço em um parque,A girl hangs upside down on a swing at a park., uma menina pendurante de cabeça para baixo em balança em um parque ,uma menina pendura de cabeça para baixo em um balanço em um parque,a girl hangs upside down on a swing at a park 
120, Vou mandar alguns e-mails para minha família.,Vou mandar alguns e-mails para minha família.,I will send some emails to my family., vou mandar alguns e mails para minha família ,vou mandar alguns e mails para minha família ,i will send some emails to my family 
121, É comum os usuários confunderem software livre com software livre.,É comum os usuários confundirem software livre com software livre.,It's common for users to confuse free software with paid software., é comum os usuários confunderem software livre com software livre ,é comum os usuários confundirem software livre com software livre ,it s common for users to confuse free software with paid software 
122," Nem indicação do testador, a tentativa será concluída.","Na indicação do testador, a tentativa será concluída.","At the tester's appointment, the attempt will be completed.", nem indicação do testador a tentativa será concluída ,na indicação do testador a tentativa será concluída ,at the tester s appointment the attempt will be completed 
123, Um gastreador vibrante caminha por uma trilha panurâmica.,Um rastreador vibrante caminha por uma trilha panorâmica.,A vibrant tracker tracks along a scenic trail., um gastreador vibrante caminha por uma trilha panurâmica ,um rastreador vibrante caminha por uma trilha panorâmica ,a vibrant tracker tracks along a scenic trail 
124," 3h em estonna-braia, totalmente vestidos.",Três homens estão na praia? totalmente vestidos.,Are three fully dressed men on the beach?, 3h em estonna braia totalmente vestidos ,três homens estão na praia totalmente vestidos ,are three fully dressed men on the beach 
125, A expressão facial autêntica do autor estava começando a jure.,A expressão facial autêntica do ator estava convencendo o júri.,The actor's authentic facial expression was convincing the jury., a expressão facial autêntica do autor estava começando a jure ,a expressão facial autêntica do ator estava convencendo o júri ,the actor s authentic facial expression was convincing the jury 
126, Você sabe o de um porro.,Você sabe onde eu moro.,You know where I live., você sabe o de um porro ,você sabe onde eu moro ,you know where i live 
127," A Gunga Poneses, desfruto, deixou os tipos artificial em uma rua local.",Alguns japoneses desfrutam de shows de fogos de artifício em uma rua local,Some Japanese people enjoy fireworks shows on a local street., a gunga poneses desfruto deixou os tipos artificial em uma rua local ,alguns japoneses desfrutam de shows de fogos de artifício em uma rua local,some japanese people enjoy fireworks shows on a local street 
128, Algumas pessoas estão examinando os vinhos em uma mesa.,Algumas pessoas estão examinando vinhos em uma mesa.,Some people are tasting wines at the table., algumas pessoas estão examinando os vinhos em uma mesa ,algumas pessoas estão examinando vinhos em uma mesa ,some people are tasting wines at the table 
129, Encau uma ron muito molhada está emergindo da água.,Um cão marrom muito molhado está emergindo da água.,A very wet brown dog is coming out of the water., encau uma ron muito molhada está emergindo da água ,um cão marrom muito molhado está emergindo da água ,a very wet brown dog is coming out of the water 
130, Todos riram.,Todos riram,Everyone laughed., todos riram ,todos riram,everyone laughed 
131, E importador trabalha em impunhar uma viga no lugar enquanto outros trabalhadores colocam vigas.,Um portador trabalha em empunhar uma viga no lugar enquanto outros trabalhadores colocam vigas.,A mason works to construct a beam while the other workers place the beams., e importador trabalha em impunhar uma viga no lugar enquanto outros trabalhadores colocam vigas ,um portador trabalha em empunhar uma viga no lugar enquanto outros trabalhadores colocam vigas ,a mason works to construct a beam while the other workers place the beams 
132, Nenhum interrupção até hoje.,Nenhuma interrupção até hoje,No interruption to date., nenhum interrupção até hoje ,nenhuma interrupção até hoje,no interruption to date 
133, Vamos para este descioto comumente.,"""Vamos parar este?"", disse outro comandante.","""Shall we stop this one?"", another commander said.", vamos para este descioto comumente , vamos parar este disse outro comandante , shall we stop this one another commander said 
134, 342 pessoas foram comunidades.,Trezentos e quarenta e duas pessoas foram convidadas.,Three hundred and forty-two people were invited., 342 pessoas foram comunidades ,trezentos e quarenta e duas pessoas foram convidadas ,three hundred and forty two people were invited 
135, Vem antes o tempo acordado.,Venha antes do tempo acordado,Come early than the agreed time., vem antes o tempo acordado ,venha antes do tempo acordado,come early than the agreed time 
