,transcription,sentence,translation,transcription_clean,sentence_clean,translation_clean
13, O espelho tem uma parte mental.,O espelho tinha uma parte de metal,The mirror had a part made of metal, o espelho tem uma parte mental ,o espelho tinha uma parte de metal,the mirror had a part made of metal
14, que o fundo do país tem que ser truto.,O rumo do páis é incerto.,The path the country is taking is uncertain., que o fundo do país tem que ser truto ,o rumo do páis é incerto ,the path the country is taking is uncertain 
15, O objetivo desta conversa é...,O objetivo da conversa é,The purpose of the conversation is, o objetivo desta conversa é ,o objetivo da conversa é,the purpose of the conversation is
16, Estou interessado apenas no presente.,Estou interessado apenas no presente.,I'm only interested in the present., estou interessado apenas no presente ,estou interessado apenas no presente ,i m only interested in the present 
17, Você vai deixar ela sair?,Você vai deixá-la sair?,Are you going to let her go out?, você vai deixar ela sair ,você vai deixá la sair ,are you going to let her go out 
18," Um bebê choro enquanto cercado por verde, amarelo e brinquedos laranja.",Um bebê chora enquanto cercado por verde? amarelo? e brinquedos laranja.,A baby crying surrounded by green? Yellow? And orange toys., um bebê choro enquanto cercado por verde amarelo e brinquedos laranja ,um bebê chora enquanto cercado por verde amarelo e brinquedos laranja ,a baby crying surrounded by green yellow and orange toys 
19, Eu realmente não sei o que fazer.,Eu realmente não sei o que fazer.,I really don't know what to do., eu realmente não sei o que fazer ,eu realmente não sei o que fazer ,i really don t know what to do 
20, Mas eles realmente não sabem o que estão dizendo.,Mas eles realmente não sabem o que estão dizendo.,But they really don't know what they are saying., mas eles realmente não sabem o que estão dizendo ,mas eles realmente não sabem o que estão dizendo ,but they really don t know what they are saying 
21, Um cão pequeno joga com uma bola colorida na areia.,Um cão pequeno joga com uma bola colorida na areia.,A small dog plays with a colorful ball in the sand., um cão pequeno joga com uma bola colorida na areia ,um cão pequeno joga com uma bola colorida na areia ,a small dog plays with a colorful ball in the sand 
22, Um cara tirando dinheiro de um caixa eletrônico.,Um cara tirando dinheiro de um caixa eletrônico.,A guy withdrawing money from an ATM., um cara tirando dinheiro de um caixa eletrônico ,um cara tirando dinheiro de um caixa eletrônico ,a guy withdrawing money from an atm 
23, Como isso afeta você?,Como isso afeta você?,How does this affect you?, como isso afeta você ,como isso afeta você ,how does this affect you 
24, Nada é tão elástico quanto a seda de uma aranha.,Nada é tão elástico quanto a seda de uma aranha.,Nothing is as stretchy as a spider's silk., nada é tão elástico quanto a seda de uma aranha ,nada é tão elástico quanto a seda de uma aranha ,nothing is as stretchy as a spider s silk 
25, O encarnador apertou a válvula com vazamento.,O encanador apertou a válvula com vazamento.,The plumber tightened the leaking valve., o encarnador apertou a válvula com vazamento ,o encanador apertou a válvula com vazamento ,the plumber tightened the leaking valve 
26, dois homens estão falando olham para cima e apontam para alguma coisa,Dois homens na varanda olham para cima e apontam para alguma coisa.,Two men on the balcony look up and point at something., dois homens estão falando olham para cima e apontam para alguma coisa,dois homens na varanda olham para cima e apontam para alguma coisa ,two men on the balcony look up and point at something 
27, Vingadores Guerra Infinita.,Vingadores Guerra Infinita.,Avengers: Infinity War., vingadores guerra infinita ,vingadores guerra infinita ,avengers infinity war 
28, Uma fileira de mesas em um banco fora de um restaurante.,Uma fileira de mesas e um banco fora de um restaurante,A row of tables and a bench outside of the restaurant., uma fileira de mesas em um banco fora de um restaurante ,uma fileira de mesas e um banco fora de um restaurante,a row of tables and a bench outside of the restaurant 
29, 4 crianças com idade escolar estão jogando queimada no ginásio,Quatro crianças com idade escolar estão jogando queimada no ginásio,Four school-aged children are playing dodgeball at the gymnasium., 4 crianças com idade escolar estão jogando queimada no ginásio,quatro crianças com idade escolar estão jogando queimada no ginásio,four school aged children are playing dodgeball at the gymnasium 
30, Isso passou pela minha cabeça.,Isso passou pela minha cabeça.,It crossed my mind., isso passou pela minha cabeça ,isso passou pela minha cabeça ,it crossed my mind 
31, Honrar vem com sofrimento.,Honrar vem com sofrimento.,The honor comes with suffering., honrar vem com sofrimento ,honrar vem com sofrimento ,the honor comes with suffering 
32," Bem-vindo, Senhor!",Bem vindo senhor!,"Welcome, sir!", bem vindo senhor ,bem vindo senhor ,welcome sir 
33, E ele perguntou ao menino se ele também estava em busca do alquimista.,E ele perguntou ao menino se ele também estava em busca do alquimista.,And he asked the boy if he was also in search of the alchemist., e ele perguntou ao menino se ele também estava em busca do alquimista ,e ele perguntou ao menino se ele também estava em busca do alquimista ,and he asked the boy if he was also in search of the alchemist 
34, Homem bonito e bar de vinhos estarão prontos em breve.,"Homem bonito e bar de vinhos, eles estarão prontos em breve.","A handsome man and a wine bar, they'll be ready soon.", homem bonito e bar de vinhos estarão prontos em breve ,homem bonito e bar de vinhos eles estarão prontos em breve ,a handsome man and a wine bar they ll be ready soon 
35, cortar o pano de ouro em fitas finas,Cortar o pano de ouro em fitas finas.,Cut the gold cloth into thin ribbons., cortar o pano de ouro em fitas finas,cortar o pano de ouro em fitas finas ,cut the gold cloth into thin ribbons 
36, E esse é o seu casaco.,E esse é o seu casaco.,And this is your coat., e esse é o seu casaco ,e esse é o seu casaco ,and this is your coat 
37, Toque no seu cabelo.,Toque no seu cabelo,Touch your hair., toque no seu cabelo ,toque no seu cabelo,touch your hair 
38," Meu nome é Melchinsendeck, disse o velho.","""Meu nome é Melchizedek?"", disse o velho.","“Is my name Melchizedek?"", said the old man.", meu nome é melchinsendeck disse o velho , meu nome é melchizedek disse o velho , is my name melchizedek said the old man 
39, Um cão do exército sendo treinado por um soldado.,Um cão do exército sendo treinado por um soldado.,A military dog being trained by a soldier., um cão do exército sendo treinado por um soldado ,um cão do exército sendo treinado por um soldado ,a military dog being trained by a soldier 
40, tão feliz quanto o dia longo,Tão feliz quanto o dia é longo,As happy as the day is long., tão feliz quanto o dia longo,tão feliz quanto o dia é longo,as happy as the day is long 
41, Um grupo de aldeões africanos na escola.,Um grupo de aldeões africanos na escola.,A group of African settlers at the school., um grupo de aldeões africanos na escola ,um grupo de aldeões africanos na escola ,a group of african settlers at the school 
42, Essas pilulas fazem menos bem que outras.,Essas pílulas fazem menos bem que outras.,These pills are more harmful than others., essas pilulas fazem menos bem que outras ,essas pílulas fazem menos bem que outras ,these pills are more harmful than others 
43, Por que a sujeita cobriu rodada?,Por que a sarjeta cobre a rodada?,Why is the ditch covering the space?, por que a sujeita cobriu rodada ,por que a sarjeta cobre a rodada ,why is the ditch covering the space 
44, Uma pessoa flutua na água perto de pedras e uma cachoeira.,Uma pessoa flutua na água perto de pedras e uma cachoeira.,A person floats in the water near the rocks and the waterfall., uma pessoa flutua na água perto de pedras e uma cachoeira ,uma pessoa flutua na água perto de pedras e uma cachoeira ,a person floats in the water near the rocks and the waterfall 
45, Meu cachorro late quando os estranhos chegam.,Meu cachorro late quando estranhos chegam.,My dog barks when strangers arrive., meu cachorro late quando os estranhos chegam ,meu cachorro late quando estranhos chegam ,my dog barks when strangers arrive 
46," Desculpe, o período de teste espirou.","Desculpe, o período de teste expirou.","Sorry, the trial period has expired.", desculpe o período de teste espirou ,desculpe o período de teste expirou ,sorry the trial period has expired 
47," Uma molecava, uma tigela de comida e a come.",Uma mulher cava uma tigela de comida e a come.,A woman prepares a bowl of food and eats it., uma molecava uma tigela de comida e a come ,uma mulher cava uma tigela de comida e a come ,a woman prepares a bowl of food and eats it 
48, pessoas andando pela calçada ao lado de uma linha de lojas,Pessoas andando pela calçada ao lado de uma linha de lojas.,People walking on the sidewalk next to several stores., pessoas andando pela calçada ao lado de uma linha de lojas,pessoas andando pela calçada ao lado de uma linha de lojas ,people walking on the sidewalk next to several stores 
49, Papai está com problemas?,Papai está com problemas?,Is daddy in trouble?, papai está com problemas ,papai está com problemas ,is daddy in trouble 
50, Um garoto com uma bola de basquete.,Um garoto com uma bola de basquete.,A boy with a basketball., um garoto com uma bola de basquete ,um garoto com uma bola de basquete ,a boy with a basketball 
51, Eu gostaria de ver o coração de uma cerneira no meu cinema.,Eu gostaria de ver O Coração de uma Sereia no meu cinema,I would like to watch The Heart of a Mermaid at the cinema., eu gostaria de ver o coração de uma cerneira no meu cinema ,eu gostaria de ver o coração de uma sereia no meu cinema,i would like to watch the heart of a mermaid at the cinema 
52," É bem simples, não é?","É bem simples, não é?","It's quite simple, isn't it?", é bem simples não é ,é bem simples não é ,it s quite simple isn t it 
53, Nem isso foi tudo.,Nem isso foi tudo.,That wasn't all., nem isso foi tudo ,nem isso foi tudo ,that wasn t all 
54, Já tem as garotas que estão dançando.,Jovens garotas estão dançando.,Young girls are dancing., já tem as garotas que estão dançando ,jovens garotas estão dançando ,young girls are dancing 
55, Vamos colocar a ordem na cafeteria.,Homem coloca ordem na cafeteria.,A man organizes the coffee shop., vamos colocar a ordem na cafeteria ,homem coloca ordem na cafeteria ,a man organizes the coffee shop 
56, O desespero é algo que nos assombra à noite.,O desespero é algo que nos assombra à noite.,Anxiety is something that haunts us at night., o desespero é algo que nos assombra à noite ,o desespero é algo que nos assombra à noite ,anxiety is something that haunts us at night 
57, 20 mil dólares por ano?,Vinte mil dólares por ano?,Twenty thousand dollars a year?, 20 mil dólares por ano ,vinte mil dólares por ano ,twenty thousand dollars a year 
58, Eu sei tudo no país.,Eu sei tudo no país.,I know everything in the country., eu sei tudo no país ,eu sei tudo no país ,i know everything in the country 
59," A jaqueta tinha um propósito, e o menino também.",A jaqueta tinha um propósito? e o menino também.,Did the jacket have a purpose? the boy had too., a jaqueta tinha um propósito e o menino também ,a jaqueta tinha um propósito e o menino também ,did the jacket have a purpose the boy had too 
60, Isso cobre o básico.,Isso cobre o básico.,This covers the basics., isso cobre o básico ,isso cobre o básico ,this covers the basics 
61, Podemos planejar fazer isso na terça-feira.,Podemos planejar fazer isso na terça-feira?,Can we manage to do that on Tuesday?, podemos planejar fazer isso na terça feira ,podemos planejar fazer isso na terça feira ,can we manage to do that on tuesday 
62, Ele não fez isso.,Ele não fez isso.,He didn't do that., ele não fez isso ,ele não fez isso ,he didn t do that 
63, Sabedoria e inteligência são duas coisas muito separadas.,Sabedoria e inteligência são duas coisas muito separadas.,Wisdom and intelligence are two different things., sabedoria e inteligência são duas coisas muito separadas ,sabedoria e inteligência são duas coisas muito separadas ,wisdom and intelligence are two different things 
64, lugar lindo a noite,lugar lindo à noite,Beautiful place at night., lugar lindo a noite,lugar lindo à noite,beautiful place at night 
65, apenas a poucos metros há uma estação de ônibus,Apenas a poucos metros há uma estação de ônibus.,There is a bus stop a few meters away., apenas a poucos metros há uma estação de ônibus,apenas a poucos metros há uma estação de ônibus ,there is a bus stop a few meters away 
66, Um parque beija na frente de um cais dianteiro da Bahia.,Um par que beija na frente de um cais dianteiro da baía.,A couple is kissing at the Bayfront pier., um parque beija na frente de um cais dianteiro da bahia ,um par que beija na frente de um cais dianteiro da baía ,a couple is kissing at the bayfront pier 
67, Uma mulher que está sorrindo está usando um enfeite de cabeça único.,Uma mulher que está sorrindo está usando um enfeite de cabeça único,A woman who is smiling is wearing a unique headdress., uma mulher que está sorrindo está usando um enfeite de cabeça único ,uma mulher que está sorrindo está usando um enfeite de cabeça único,a woman who is smiling is wearing a unique headdress 
68, Foi apenas certo.,Foi apenas certo.,It was just right., foi apenas certo ,foi apenas certo ,it was just right 
69, Uma criança está olhando pelo visor de uma câmera.,Uma criança está olhando pelo visor de uma câmera.,A child is looking through the viewfinder of a camera., uma criança está olhando pelo visor de uma câmera ,uma criança está olhando pelo visor de uma câmera ,a child is looking through the viewfinder of a camera 
70, Um ciclista passa por uma rampa de terra e pega um pouco de ar.,Um ciclista passa por uma rampa de terra e pega um pouco de ar,A cyclist rides through a dirt ramp and gets some air., um ciclista passa por uma rampa de terra e pega um pouco de ar ,um ciclista passa por uma rampa de terra e pega um pouco de ar,a cyclist rides through a dirt ramp and gets some air 
71, Ouvi dizer que ganhei muito na porta ao lado.,Ouvi dizer que ganhei muito na porta ao lado.,I have heard in the next door that I won., ouvi dizer que ganhei muito na porta ao lado ,ouvi dizer que ganhei muito na porta ao lado ,i have heard in the next door that i won 
72, Grande grupo de pessoas sentadas na tenda branca.,Grande grupo de pessoas sentadas na tenda branca.,A large group of people sitting in the white tent., grande grupo de pessoas sentadas na tenda branca ,grande grupo de pessoas sentadas na tenda branca ,a large group of people sitting in the white tent 
73, Um menino loiro está de pé por uma cerca.,Um menino loiro está de pé por uma cerca.,A blond boy is standing by a fence., um menino loiro está de pé por uma cerca ,um menino loiro está de pé por uma cerca ,a blond boy is standing by a fence 
74, Uma banda se apresenta em um palco.,Uma banda se apresenta em um palco.,A band performs on stage., uma banda se apresenta em um palco ,uma banda se apresenta em um palco ,a band performs on stage 
75, O moço pediu duas águas de coco.,O moço pediu duas águas de coco,The man asked for two ... of coconut water., o moço pediu duas águas de coco ,o moço pediu duas águas de coco,the man asked for two of coconut water 
76, Ativar legendas.,Ativar legendas.,Enable subtitles., ativar legendas ,ativar legendas ,enable subtitles 
77, Está quente no local atual.,Está quente no local atual?,Is it hot in the current location?, está quente no local atual ,está quente no local atual ,is it hot in the current location 
78, Mr. Robinson chegará a tempo.,Mister Robinson chegará a tempo.,Mister Robinson will be on time., mr robinson chegará a tempo ,mister robinson chegará a tempo ,mister robinson will be on time 
79, Reservar um restaurante na Geórgia,reservar um restaurante na Geórgia,Book a restaurant in Georgia., reservar um restaurante na geórgia,reservar um restaurante na geórgia,book a restaurant in georgia 
80, Uma criança está desfrutando de uma bebida no supermercado.,Uma criança está desfrutando de uma bebida no supermercado.,A child is enjoying a drink at the supermarket., uma criança está desfrutando de uma bebida no supermercado ,uma criança está desfrutando de uma bebida no supermercado ,a child is enjoying a drink at the supermarket 
81, Recite o horário do filme.,Recite o horário do filme.,Recite the movie time., recite o horário do filme ,recite o horário do filme ,recite the movie time 
82, 42 não é um número aleatório.,Quarenta e dois não é um número aleatório.,Forty-two is not a random number., 42 não é um número aleatório ,quarenta e dois não é um número aleatório ,forty two is not a random number 
83, Um cachorro corre pela drama.,um cachorro corre pela grama.,A dog runs across the grass., um cachorro corre pela drama ,um cachorro corre pela grama ,a dog runs across the grass 
84, Eu queimei a umelete.,Eu queimei a omelete.,I burned the omelet., eu queimei a umelete ,eu queimei a omelete ,i burned the omelet 
85, O cachorro marrom está correndo em direção ao tubo azul e amarelo.,O cachorro marrom está correndo em direção a um tubo azul e amarelo,The brown dog is running towards a blue and yellow tube., o cachorro marrom está correndo em direção ao tubo azul e amarelo ,o cachorro marrom está correndo em direção a um tubo azul e amarelo,the brown dog is running towards a blue and yellow tube 
86, Uma mulher em uma camisa azul e calça preta está consertando a sua meia branca.,Uma mulher em uma camisa azul e calça preta está consertando sua meia branca.,A woman in a blue shirt and black pants is straightening her white sock., uma mulher em uma camisa azul e calça preta está consertando a sua meia branca ,uma mulher em uma camisa azul e calça preta está consertando sua meia branca ,a woman in a blue shirt and black pants is straightening her white sock 
87, Uma criança brincando com bolhas e andando.,Uma criança brincando com bolhas e andando.,A child is walking and playing with bubbles., uma criança brincando com bolhas e andando ,uma criança brincando com bolhas e andando ,a child is walking and playing with bubbles 
88, As pessoas estão passeando em um mercado.,As pessoas estão passeando em um mercado,People are strolling in a market., as pessoas estão passeando em um mercado ,as pessoas estão passeando em um mercado,people are strolling in a market 
89, Um homem mais velho em uma jaqueta preta olhando para baixo.,"Um homem mais velho em uma jaqueta preta, olhando para baixo",An old man in a black jacket is looking down., um homem mais velho em uma jaqueta preta olhando para baixo ,um homem mais velho em uma jaqueta preta olhando para baixo,an old man in a black jacket is looking down 
90, dois jogadores de futebol jovens vestindo uniformes azuis e amarelos lutam pela bola,Dois jogadores de futebol jovens vestindo uniformes azuis e amarelos lutam pela bola.,Two young soccer players wearing blue and yellow uniforms fight for the ball., dois jogadores de futebol jovens vestindo uniformes azuis e amarelos lutam pela bola,dois jogadores de futebol jovens vestindo uniformes azuis e amarelos lutam pela bola ,two young soccer players wearing blue and yellow uniforms fight for the ball 
91, O tráfego era enorme.,O tráfego era enorme.,The place was busy., o tráfego era enorme ,o tráfego era enorme ,the place was busy 
92, Você deixou de fora o número 5.,Você deixou de fora o número cinco.,You didn't include the number five., você deixou de fora o número 5 ,você deixou de fora o número cinco ,you didn t include the number five 
93, A bússola apontava como sempre para o norte.,"A bússola apontava, como sempre para o norte","The compass pointed, as always, to the north.", a bússola apontava como sempre para o norte ,a bússola apontava como sempre para o norte,the compass pointed as always to the north 
94, recuou para o buraco,Recuou para o buraco.,Moved back to the hole., recuou para o buraco,recuou para o buraco ,moved back to the hole 
95, Um lance forte pode assustar seu parceiro.,Um lance forte pode assustar seu parceiro.,A strong decision can scare your partner., um lance forte pode assustar seu parceiro ,um lance forte pode assustar seu parceiro ,a strong decision can scare your partner 
96, Eu deveria dizer não.,Eu deveria dizer não!,I should say no!, eu deveria dizer não ,eu deveria dizer não ,i should say no 
97, Você vai me perguntar o que?,Você vai me perguntar o que?,What are you going to ask?, você vai me perguntar o que ,você vai me perguntar o que ,what are you going to ask 
98, Uma mulher de óculos escuros caminha pela rua carregando uma bolsa azul.,Uma mulher de óculos escuros caminha pela rua? carregando uma bolsa azul.,Is it a woman in dark glasses walking down the street? Carrying a blue bag?, uma mulher de óculos escuros caminha pela rua carregando uma bolsa azul ,uma mulher de óculos escuros caminha pela rua carregando uma bolsa azul ,is it a woman in dark glasses walking down the street carrying a blue bag 
99, Trabalhadores de escritorio se divertindo.,Trabalhadores de escritório se divertindo.,Office workers having fun., trabalhadores de escritorio se divertindo ,trabalhadores de escritório se divertindo ,office workers having fun 
100, Como foi a comida lá?,Como foi a comida lá?,How was the food there?, como foi a comida lá ,como foi a comida lá ,how was the food there 
101, onde você esteve esta tarde.,Onde você esteve esta tarde?,Where have you been during this afternoon?, onde você esteve esta tarde ,onde você esteve esta tarde ,where have you been during this afternoon 
102, Vocês dois se sentam aqui.,Vocês dois se sentam aqui.,"You two, sit here.", vocês dois se sentam aqui ,vocês dois se sentam aqui ,you two sit here 
103, E você não pode libertá-lo.,E você não pode libertá-lo?,Can't you free him?, e você não pode libertá lo ,e você não pode libertá lo ,can t you free him 
104, Fevereiro não deixe carneiro ou cordeiro.,Fevereiro não deixa carneiro ou cordeiro.,February takes everything away., fevereiro não deixe carneiro ou cordeiro ,fevereiro não deixa carneiro ou cordeiro ,february takes everything away 
105," Mais cedo ou mais tarde, eles descobriram como olhar esses hieroglófidos.","Mais cedo ou mais tarde, eles descobrirão como ler esses hieróglifos.","Sooner or later, they will discover how to read these hieroglyphs.", mais cedo ou mais tarde eles descobriram como olhar esses hieroglófidos ,mais cedo ou mais tarde eles descobrirão como ler esses hieróglifos ,sooner or later they will discover how to read these hieroglyphs 
106, Você não gostaria de matar ninguém.,Você não gostaria de matar ninguém.,You wouldn't like to kill anyone., você não gostaria de matar ninguém ,você não gostaria de matar ninguém ,you wouldn t like to kill anyone 
107, Família reunida em uma casa desfrutando de companhia.,Família reunida em uma casa desfrutando de companhia,The family is together at home enjoying each other's company., família reunida em uma casa desfrutando de companhia ,família reunida em uma casa desfrutando de companhia,the family is together at home enjoying each other s company 
108, As pessoas ficam ao lado de fora vendo motociclistas dirigindo por uma estrada.,As pessoas ficam do lado de fora vendo motocicletas dirigir por uma estrada.,People stand outside watching the motorcycles driving down the road., as pessoas ficam ao lado de fora vendo motociclistas dirigindo por uma estrada ,as pessoas ficam do lado de fora vendo motocicletas dirigir por uma estrada ,people stand outside watching the motorcycles driving down the road 
109, Uma criança nova que joga com seus trens do brinquedo.,Uma criança nova que joga com seus trens do brinquedo.,A young child that plays with his toy trains., uma criança nova que joga com seus trens do brinquedo ,uma criança nova que joga com seus trens do brinquedo ,a young child that plays with his toy trains 
110, Muito dinheiro!,Muito dinheiro.,A lot of money., muito dinheiro ,muito dinheiro ,a lot of money 
111, Eu peguei um número e encontrei meu lugar.,Eu peguei um número e encontrei meu lugar.,I took a number and found my place., eu peguei um número e encontrei meu lugar ,eu peguei um número e encontrei meu lugar ,i took a number and found my place 
112, correndo o cavalo lápide grave,"Correndo cavalo, lápide grave.","Horse running, grave headstone.", correndo o cavalo lápide grave,correndo cavalo lápide grave ,horse running grave headstone 
113, Estamos aqui para pedir emprestado.,Estamos aqui para pedir emprestado,We are here to ask to borrow it., estamos aqui para pedir emprestado ,estamos aqui para pedir emprestado,we are here to ask to borrow it 
114, Graças a Deus você está aqui.,Graças a Deus você está aqui!,Thank God you're here!, graças a deus você está aqui ,graças a deus você está aqui ,thank god you re here 
115, Precisamos nos apressar.,Precisamos nos apressar.,We have to hurry up., precisamos nos apressar ,precisamos nos apressar ,we have to hurry up 
116, A necessidade é pai na inovação.,A necessidade é o pai na inovação.,Necessity is innovation's father., a necessidade é pai na inovação ,a necessidade é o pai na inovação ,necessity is innovation s father 
117, Ela não pôde evitar.,Ele não pôde evitar.,He couldn't avoid it., ela não pôde evitar ,ele não pôde evitar ,he couldn t avoid it 
118, Cavaleiro da bicicleta pulando obstáculos.,Cavaleiro da bicicleta pulando obstáculos.,Mountain bike rider jumping over obstacles., cavaleiro da bicicleta pulando obstáculos ,cavaleiro da bicicleta pulando obstáculos ,mountain bike rider jumping over obstacles 
119, Uma menina pendura de cabeça para baixo em um balanço em um parque.,Uma menina pendura de cabeça para baixo em um balanço em um parque,A girl hangs upside down on a swing at a park., uma menina pendura de cabeça para baixo em um balanço em um parque ,uma menina pendura de cabeça para baixo em um balanço em um parque,a girl hangs upside down on a swing at a park 
120, Vou mandar alguns e-mails para minha família.,Vou mandar alguns e-mails para minha família.,I will send some emails to my family., vou mandar alguns e mails para minha família ,vou mandar alguns e mails para minha família ,i will send some emails to my family 
121, É comum os usuários confundirem software livre com software livre.,É comum os usuários confundirem software livre com software livre.,It's common for users to confuse free software with paid software., é comum os usuários confundirem software livre com software livre ,é comum os usuários confundirem software livre com software livre ,it s common for users to confuse free software with paid software 
122," Na indicação do testador, a tentativa será concluída.","Na indicação do testador, a tentativa será concluída.","At the tester's appointment, the attempt will be completed.", na indicação do testador a tentativa será concluída ,na indicação do testador a tentativa será concluída ,at the tester s appointment the attempt will be completed 
123, Um rastreador vibrante caminha por uma trilha panorâmica.,Um rastreador vibrante caminha por uma trilha panorâmica.,A vibrant tracker tracks along a scenic trail., um rastreador vibrante caminha por uma trilha panorâmica ,um rastreador vibrante caminha por uma trilha panorâmica ,a vibrant tracker tracks along a scenic trail 
124," Três homens estão na praia, totalmente vestidos.",Três homens estão na praia? totalmente vestidos.,Are three fully dressed men on the beach?, três homens estão na praia totalmente vestidos ,três homens estão na praia totalmente vestidos ,are three fully dressed men on the beach 
125, A expressão facial autêntica do ator estava convencendo o júri.,A expressão facial autêntica do ator estava convencendo o júri.,The actor's authentic facial expression was convincing the jury., a expressão facial autêntica do ator estava convencendo o júri ,a expressão facial autêntica do ator estava convencendo o júri ,the actor s authentic facial expression was convincing the jury 
126, Você sabe onde eu moro.,Você sabe onde eu moro.,You know where I live., você sabe onde eu moro ,você sabe onde eu moro ,you know where i live 
127, Alguns japoneses desfrutam de shows de folga de artifício em uma rua local.,Alguns japoneses desfrutam de shows de fogos de artifício em uma rua local,Some Japanese people enjoy fireworks shows on a local street., alguns japoneses desfrutam de shows de folga de artifício em uma rua local ,alguns japoneses desfrutam de shows de fogos de artifício em uma rua local,some japanese people enjoy fireworks shows on a local street 
128, Algumas pessoas estão examinando os vinhos em uma mesa.,Algumas pessoas estão examinando vinhos em uma mesa.,Some people are tasting wines at the table., algumas pessoas estão examinando os vinhos em uma mesa ,algumas pessoas estão examinando vinhos em uma mesa ,some people are tasting wines at the table 
129, Um cão marrom muito molhado está emergindo da água.,Um cão marrom muito molhado está emergindo da água.,A very wet brown dog is coming out of the water., um cão marrom muito molhado está emergindo da água ,um cão marrom muito molhado está emergindo da água ,a very wet brown dog is coming out of the water 
130, Todos riram.,Todos riram,Everyone laughed., todos riram ,todos riram,everyone laughed 
131, O importador trabalha em empunhar uma viga no lugar enquanto outros trabalhadores colocam vigas.,Um portador trabalha em empunhar uma viga no lugar enquanto outros trabalhadores colocam vigas.,A mason works to construct a beam while the other workers place the beams., o importador trabalha em empunhar uma viga no lugar enquanto outros trabalhadores colocam vigas ,um portador trabalha em empunhar uma viga no lugar enquanto outros trabalhadores colocam vigas ,a mason works to construct a beam while the other workers place the beams 
132, nenhuma interrupção até hoje,Nenhuma interrupção até hoje,No interruption to date., nenhuma interrupção até hoje,nenhuma interrupção até hoje,no interruption to date 
133, Vamos para este de seu decomandante,"""Vamos parar este?"", disse outro comandante.","""Shall we stop this one?"", another commander said.", vamos para este de seu decomandante, vamos parar este disse outro comandante , shall we stop this one another commander said 
134, 342 pessoas foram convidadas.,Trezentos e quarenta e duas pessoas foram convidadas.,Three hundred and forty-two people were invited., 342 pessoas foram convidadas ,trezentos e quarenta e duas pessoas foram convidadas ,three hundred and forty two people were invited 
135, Venha antes do tempo acordado.,Venha antes do tempo acordado,Come early than the agreed time., venha antes do tempo acordado ,venha antes do tempo acordado,come early than the agreed time 
